,name,image
183,Abemaciclib,www.icoa.fr/pkidb/static/img/mol/Abemaciclib.svg
113,Abivertinib,www.icoa.fr/pkidb/static/img/mol/Abivertinib.svg
203,Acalabrutinib,www.icoa.fr/pkidb/static/img/mol/Acalabrutinib.svg
84,Acalisib,www.icoa.fr/pkidb/static/img/mol/Acalisib.svg
90,Acumapimod,www.icoa.fr/pkidb/static/img/mol/Acumapimod.svg
47,Adavosertib,www.icoa.fr/pkidb/static/img/mol/Adavosertib.svg
202,Afatinib,www.icoa.fr/pkidb/static/img/mol/Afatinib.svg
45,Afuresertib,www.icoa.fr/pkidb/static/img/mol/Afuresertib.svg
200,Alectinib,www.icoa.fr/pkidb/static/img/mol/Alectinib.svg
138,Alisertib,www.icoa.fr/pkidb/static/img/mol/Alisertib.svg
13,Allitinib,www.icoa.fr/pkidb/static/img/mol/Allitinib.svg
186,Alpelisib,www.icoa.fr/pkidb/static/img/mol/Alpelisib.svg
10,Altiratinib,www.icoa.fr/pkidb/static/img/mol/Altiratinib.svg
119,Alvocidib,www.icoa.fr/pkidb/static/img/mol/Alvocidib.svg
54,Amcasertib,www.icoa.fr/pkidb/static/img/mol/Amcasertib.svg
55,Amuvatinib,www.icoa.fr/pkidb/static/img/mol/Amuvatinib.svg
204,Anlotinib,www.icoa.fr/pkidb/static/img/mol/Anlotinib.svg
216,Apatinib,www.icoa.fr/pkidb/static/img/mol/Apatinib.svg
39,Apitolisib,www.icoa.fr/pkidb/static/img/mol/Apitolisib.svg
129,Asciminib,www.icoa.fr/pkidb/static/img/mol/Asciminib.svg
126,Avapritinib,www.icoa.fr/pkidb/static/img/mol/Avapritinib.svg
206,Axitinib,www.icoa.fr/pkidb/static/img/mol/Axitinib.svg
49,Bafetinib,www.icoa.fr/pkidb/static/img/mol/Bafetinib.svg
11,Balamapimod,www.icoa.fr/pkidb/static/img/mol/Balamapimod.svg
144,Barasertib,www.icoa.fr/pkidb/static/img/mol/Barasertib.svg
205,Baricitinib,www.icoa.fr/pkidb/static/img/mol/Baricitinib.svg
58,Bemcentinib,www.icoa.fr/pkidb/static/img/mol/Bemcentinib.svg
63,Bentamapimod,www.icoa.fr/pkidb/static/img/mol/Bentamapimod.svg
33,Berzosertib,www.icoa.fr/pkidb/static/img/mol/Berzosertib.svg
43,Bimiralisib,www.icoa.fr/pkidb/static/img/mol/Bimiralisib.svg
193,Binimetinib,www.icoa.fr/pkidb/static/img/mol/Binimetinib.svg
199,Bosutinib,www.icoa.fr/pkidb/static/img/mol/Bosutinib.svg
207,Brigatinib,www.icoa.fr/pkidb/static/img/mol/Brigatinib.svg
142,Brivanib,www.icoa.fr/pkidb/static/img/mol/Brivanib.svg
140,Buparlisib,www.icoa.fr/pkidb/static/img/mol/Buparlisib.svg
163,Cabozantinib,www.icoa.fr/pkidb/static/img/mol/Cabozantinib.svg
152,Canertinib,www.icoa.fr/pkidb/static/img/mol/Canertinib.svg
60,Capivasertib,www.icoa.fr/pkidb/static/img/mol/Capivasertib.svg
122,Capmatinib,www.icoa.fr/pkidb/static/img/mol/Capmatinib.svg
139,Cediranib,www.icoa.fr/pkidb/static/img/mol/Cediranib.svg
17,Cenisertib,www.icoa.fr/pkidb/static/img/mol/Cenisertib.svg
29,Ceralasertib,www.icoa.fr/pkidb/static/img/mol/Ceralasertib.svg
105,Cerdulatinib,www.icoa.fr/pkidb/static/img/mol/Cerdulatinib.svg
208,Ceritinib,www.icoa.fr/pkidb/static/img/mol/Ceritinib.svg
160,Cobimetinib,www.icoa.fr/pkidb/static/img/mol/Cobimetinib.svg
159,Copanlisib,www.icoa.fr/pkidb/static/img/mol/Copanlisib.svg
156,Crenolanib,www.icoa.fr/pkidb/static/img/mol/Crenolanib.svg
158,Crizotinib,www.icoa.fr/pkidb/static/img/mol/Crizotinib.svg
168,Dabrafenib,www.icoa.fr/pkidb/static/img/mol/Dabrafenib.svg
192,Dacomitinib,www.icoa.fr/pkidb/static/img/mol/Dacomitinib.svg
41,Dactolisib,www.icoa.fr/pkidb/static/img/mol/Dactolisib.svg
