INN_Name,pdbID
Abemaciclib,5l2s
Abivertinib,NaN
Acalabrutinib,NaN
Acalisib,NaN
Acumapimod,NaN
Adavosertib,5v5y
Adavosertib,5vd0
Adavosertib,5vdk
Afatinib,4g5j
Afuresertib,NaN
Alectinib,3aox
Alectinib,5xv7
Alisertib,5ia0
Allitinib,NaN
Altiratinib,NaN
Alvocidib,1c8k
Alvocidib,1e1y
Alvocidib,3blr
Alvocidib,3ebp
Alvocidib,4o71
Amcasertib,NaN
Amuvatinib,NaN
Anlotinib,NaN
Apatinib,NaN
Alpelisib,4jps
Apitolisib,3tl5
Asciminib,5mo4
Avapritinib,NaN
Axitinib,4ag8
Axitinib,4agc
Axitinib,4twp
Axitinib,4wa9
Bafetinib,2e2b
Balamapimod,NaN
Barasertib,NaN
Baricitinib,4w9x
Bemcentinib,NaN
Bentamapimod,NaN
Berzosertib,NaN
Bimiralisib,5oq4
Binimetinib,NaN
Bosutinib,3soa
Bosutinib,3ue4
Bosutinib,4mxo
Bosutinib,4mxx
Bosutinib,4mxy
Bosutinib,4mxz
Bosutinib,4qmn
Bosutinib,5ajq
Bosutinib,5i9x
Bosutinib,5vc3
Bosutinib,5vcy
Bosutinib,6fdy
Bosutinib,6op9
Brigatinib,6mx8
Brivanib,NaN
Buparlisib,3sd5
Buparlisib,5m7e
Cabozantinib,NaN
Canertinib,NaN
Capivasertib,4gv1
Capmatinib,NaN
Cediranib,NaN
Cenisertib,NaN
Ceralasertib,NaN
Cerdulatinib,NaN
Ceritinib,4mkc
Cobimetinib,4an2
Cobimetinib,4lmn
Copanlisib,5g2n
Crenolanib,5lby
Crenolanib,6bqp
Crizotinib,2wgj
Crizotinib,2xp2
Crizotinib,2yfx
Crizotinib,3zbf
Crizotinib,4anq
Crizotinib,4ans
Crizotinib,4c9w
Crizotinib,5aaa
Crizotinib,5aab
Crizotinib,5aac
Crizotinib,6imz
Dabrafenib,4xv2
Dabrafenib,5csw
Dabrafenib,5hie
Dacomitinib,4i23
Dacomitinib,4i24
Dactolisib,NaN
Danusertib,2j50
Danusertib,2v7a
Danusertib,4qo9
Danusertib,5i9z
Dasatinib,2gqg
Dasatinib,2y6o
Dasatinib,2zva
Dasatinib,3g5d
Dasatinib,3k54
Dasatinib,3lfa
Dasatinib,3oct
Dasatinib,3oht
Dasatinib,3qlg
Dasatinib,3sxr
Dasatinib,4qms
Dasatinib,4xey
Dasatinib,4xli
Dasatinib,5bvw
Dasatinib,5h2u
Dasatinib,5i9y
Dasatinib,Ê5owr
Dasatinib,5vcv
Dasatinib,6bsd
Dasatinib,fnm
Decernotinib,4yti
Defactinib,5mah
Derazantinib,NaN
Dezapelisib,NaN
Dilmapimod,NaN
Dinaciclib,NaN
Doramapimod,1kv2
Doramapimod,3fzs
Doramapimod,3npc
Doramapimod,4jvg
Doramapimod,4twn
Doramapimod,5n66
Doramapimod,6gtt
Dovitinib,4tyi
Dovitinib,5a46
Dovitinib,5am6
Dovitinib,5am7
Dovitinib,5owq
Duvelisib,NaN
Encorafenib,NaN
Ensartinib,NaN
Entospletinib,4puz
Entrectinib,5fto
Entrectinib,5kvt
Enzastaurin,NaN
Erdafitinib,5ew8
Erlotinib,1m17
Erlotinib,4hjo
Erlotinib,6dwn
Evobrutinib,6omu
Famitinib,NaN
Fasudil,1q8w
Fasudil,2esm
Fasudil,2f2u
Fasudil,2gni
Fasudil,3tku
Fasudil,5lcp
Fasudil,5nw8
Fasudil,5o0e
Fasudil,5ok3
Fasudil,5vef
Fasudil,6em2
Fasudil,6emb
Fasudil,6ers
Fasudil,6erw
Fasudil,6i2a
Fasudil,6i2c
Fedratinib,4ogj
Fedratinib,4ps5
Filgotinib,4p7e
Filgotinib,5ut5
Flumatinib,NaN
