INN_Name,Canonical_Smiles,InChiKey
Abemaciclib,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N
Abivertinib,CN1CCN(CC1)c2ccc(cc2F)Nc3nc4c(cc[nH]4)c(n3)Oc5cccc(c5)NC(=O)C=C,UOFYSRZSLXWIQB-UHFFFAOYSA-N
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5,WDENQIQQYWYTPO-IBGZPJMESA-N
Acalisib,C[C@@H](c1nc2ccc(cc2c(=O)n1c3ccccc3)F)Nc4c5c(nc[nH]5)ncn4,DOCINCLJNAXZQF-LBPRGKRZSA-N
Acumapimod,Cc1ccc(cc1n2c(c(cn2)C(=O)c3cccc(c3)C#N)N)C(=O)NC4CC4,VGUSQKZDZHAAEE-UHFFFAOYSA-N
Adavosertib,CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O,BKWJAKQVGHWELA-UHFFFAOYSA-N
Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,ULXXDDBFHOBEHA-CWDCEQMOSA-N
Afuresertib,Cn1c(c(cn1)Cl)c2cc(sc2Cl)C(=O)N[C@@H](Cc3cccc(c3)F)CN,AFJRDFWMXUECEW-LBPRGKRZSA-N
Alectinib,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,KDGFLJKFZUIJMX-UHFFFAOYSA-N
Alisertib,COc1cccc(c1C2=NCc3cnc(nc3-c4c2cc(cc4)Cl)Nc5ccc(c(c5)OC)C(=O)O)F,ZLHFILGSQDJULK-UHFFFAOYSA-N
Allitinib,C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc3ccc(c(c3)Cl)OCc4cccc(c4)F,MVZGYPSXNDCANY-UHFFFAOYSA-N
Alpelisib,Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F,STUWGJZDJHPWGZ-LBPRGKRZSA-N
Altiratinib,c1cc(ccc1NC(=O)C2(CC2)C(=O)Nc3cc(c(cc3F)Oc4ccnc(c4)NC(=O)C5CC5)F)F,GNNDEPIMDAZHRQ-UHFFFAOYSA-N
Alvocidib,CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O,BIIVYFLTOXDAOV-YVEFUNNKSA-N
Amcasertib,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)c4csc(n4)c5ccccc5)C,QDWKGEFGLQMDAM-ULJHMMPZSA-N
Amuvatinib,c1ccc2c(c1)c3c(o2)c(ncn3)N4CCN(CC4)C(=S)NCc5ccc6c(c5)OCO6,FOFDIMHVKGYHRU-UHFFFAOYSA-N
Anlotinib,Cc1cc2c([nH]1)ccc(c2F)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC,KSMZEXLVHXZPEF-UHFFFAOYSA-N
Apatinib,N#CC1(CCCC1)c1ccc(cc1)NC(=O)c1cccnc1Nc1cnccc1C,MGZNERAVOCFMCU-UHFFFAOYSA-N
Apitolisib,Cc1c(sc2c1nc(nc2N3CCOCC3)c4cnc(nc4)N)CN5CCN(CC5)C(=O)[C@H](C)O,YOVVNQKCSKSHKT-HNNXBMFYSA-N
Asciminib,c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl,VOVZXURTCKPRDQ-CQSZACIVSA-N
Avapritinib,C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N,DWYRIWUZIJHQKQ-SANMLTNESA-N
Axitinib,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4,RITAVMQDGBJQJZ-FMIVXFBMSA-N
Bafetinib,Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CC[C@@H](C5)N(C)C,ZGBAJMQHJDFTQJ-DEOSSOPVSA-N
Balamapimod,Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)N5CCC(CC5)N6CCCC6)OC,CVAKNHIXTWLGJO-UHFFFAOYSA-N
Barasertib,CCN(CCCOc1ccc2c(c1)ncnc2Nc3cc(n[nH]3)CC(=O)Nc4cccc(c4)F)CCOP(=O)(O)O,GBJVVSCPOBPEIT-UHFFFAOYSA-N
