inn_name,pdbid
Abemaciclib,5l2s
Adavosertib,5v5y
Adavosertib,5vd0
Adavosertib,5vdk
Afatinib,4g5j
Alectinib,3aox
Alectinib,5xv7
Alisertib,5ia0
Alpelisib,4jps
Alvocidib,1c8k
Alvocidib,1e1y
Alvocidib,3blr
Alvocidib,3ebp
Alvocidib,4o71
Apitolisib,3tl5
Asciminib,5mo4
Axitinib,4ag8
Axitinib,4agc
Axitinib,4twp
Axitinib,4wa9
Bafetinib,2e2b
Baricitinib,4w9x
Bimiralisib,5oq4
Bosutinib,3soa
Bosutinib,3ue4
Bosutinib,4mxo
Bosutinib,4mxx
Bosutinib,4mxy
Bosutinib,4mxz
Bosutinib,4qmn
Bosutinib,5ajq
Bosutinib,5i9x
Bosutinib,5vc3
Bosutinib,5vcy
Bosutinib,6fdy
Bosutinib,6op9
Brigatinib,6mx8
Buparlisib,3sd5
Buparlisib,5m7e
Capivasertib,4gv1
Ceritinib,4mkc
Cobimetinib,4an2
Cobimetinib,4lmn
Copanlisib,5g2n
Crenolanib,5lby
Crenolanib,6bqp
Crizotinib,2wgj
Crizotinib,2xp2
Crizotinib,2yfx
Crizotinib,3zbf
Crizotinib,4anq
Crizotinib,4ans
Crizotinib,4c9w
Crizotinib,5aaa
Crizotinib,5aab
Crizotinib,5aac
Crizotinib,6imz
Dabrafenib,4xv2
Dabrafenib,5csw
Dabrafenib,5hie
Dacomitinib,4i23
Dacomitinib,4i24
Danusertib,2j50
Danusertib,2v7a
Danusertib,4qo9
Danusertib,5i9z
Dasatinib,2gqg
Dasatinib,2y6o
Dasatinib,2zva
Dasatinib,3g5d
Dasatinib,3k54
Dasatinib,3lfa
Dasatinib,3oct
Dasatinib,3oht
Dasatinib,3qlg
Dasatinib,3sxr
Dasatinib,4qms
Dasatinib,4xey
Dasatinib,4xli
Dasatinib,5bvw
Dasatinib,5h2u
Dasatinib,5i9y
Dasatinib,5owr
Dasatinib,5vcv
Dasatinib,6bsd
Dasatinib,6fnm
Decernotinib,4yti
Defactinib,5mah
Doramapimod,1kv2
Doramapimod,3fzs
Doramapimod,3npc
Doramapimod,4jvg
Doramapimod,4twn
Doramapimod,5n66
Doramapimod,6gtt
Dovitinib,4tyi
Dovitinib,5a46
Dovitinib,5am6
Dovitinib,5am7
Dovitinib,5owq
Entospletinib,4puz
Entrectinib,5fto
Entrectinib,5kvt
Erdafitinib,5ew8
Erlotinib,1m17
Erlotinib,4hjo
Erlotinib,6dwn
Evobrutinib,6omu
Fasudil,1q8w
Fasudil,2esm
Fasudil,2f2u
Fasudil,2gni
Fasudil,3tku
Fasudil,5lcp
Fasudil,5nw8
Fasudil,5o0e
Fasudil,5ok3
Fasudil,5vef
Fasudil,6em2
Fasudil,6emb
Fasudil,6ers
Fasudil,6erw
Fasudil,6i2a
Fasudil,6i2c
Fedratinib,4ogj
Fedratinib,4ps5
Filgotinib,4p7e
Filgotinib,5ut5
Foretinib,3lq8
Foretinib,5ia4
Foretinib,6i2y
Foretinib,6sd9
Foretinib,6sdc
Fostamatinib,4o75
Gefitinib,2ito
Gefitinib,2ity
Gefitinib,2itz
Gefitinib,3ug2
Gefitinib,4i22
Gefitinib,4wkq
Gefitinib,5y7z
Gefitinib,5y80
Gilteritinib,6jqr
Golvatinib,5ia5
Ibrutinib,4ifg
Ibrutinib,4rz7
Ibrutinib,5p9i
Ibrutinib,5yu9
Idelalisib,4xe0
Imatinib,1iep
Imatinib,1opj
Imatinib,1t46
Imatinib,1xbb
Imatinib,2hyy
Imatinib,2oiq
Imatinib,2pl0
Imatinib,3fw1
Imatinib,3gvu
Imatinib,3hec
Imatinib,3k5v
Imatinib,3ms9
Imatinib,3mss
Imatinib,3oez
Imatinib,3pyy
Imatinib,4bkj
Imatinib,4csv
Imatinib,4r7i
Imatinib,5mqt
Imatinib,6hd4
Imatinib,6hd6
Imatinib,6npe
Imatinib,6npu
Imatinib,6npv
Infigratinib,3tt0
Ipatasertib,4ekl
Lapatinib,1xkk
Lapatinib,3bbt
Leniolisib,5o83
Lenvatinib,3wzd
Lenvatinib,5zv2
Lorlatinib,4cli
Lorlatinib,4clj
Lorlatinib,4uxl
Lorlatinib,5a9u
Lorlatinib,5aa8
Lorlatinib,5aa9
Lucitanib,4rwl
Masitinib,5mql
Merestinib,4eev
Midostaurin,4nct
Milciclib,2wih
Milciclib,5vc6
Milciclib,5vd1
Momelotinib,6fdz
Motesanib,3efl
Naquotinib,5y9t
Neflamapimod,3fc1
Neflamapimod,3hp5
Neflamapimod,3zsi
Nemiralisib,5ae8
Nilotinib,3cs9
Nilotinib,3gp0
Nilotinib,5mo4
Nintedanib,3c7q
Nintedanib,5maf
Nintedanib,5te0
Nintedanib,6nec
Omipalisib,3l08
Orantinib,4jlc
Orantinib,5yvc
Osimertinib,4zau
Pacritinib,5lbz
Palbociclib,2euf
Palbociclib,5l2i
Pamapimod,3flw
Peficitinib,6aah
Peficitinib,6aaj
Peficitinib,6aak
Peficitinib,6aam
Pelitinib,5vcw
Pexidartinib,4r7h
Pictilisib,2wxp
Pictilisib,2y3a
