uniprot|disease_name|effect_text|disease_description
P31749|Breast cancer|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case.
P31749|Colorectal cancer|The gene represented in this entry may be involved in disease pathogenesis.|A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history.
P31749||Genetic variations in AKT1 may play a role in susceptibility to ovarian cancer.|
P31749|Proteus syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A highly variable, severe disorder of asymmetric and disproportionate overgrowth of body parts, connective tissue nevi, epidermal nevi, dysregulated adipose tissue, and vascular malformations. Many features of Proteus syndrome overlap with other overgrowth syndromes.
P31749|Proteus syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A highly variable, severe disorder of asymmetric and disproportionate overgrowth of body parts, connective tissue nevi, epidermal nevi, dysregulated adipose tissue, and vascular malformations. Many features of Proteus syndrome overlap with other overgrowth syndromes.
P31749|Cowden syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A form of Cowden syndrome, a hamartomatous polyposis syndrome with age-related penetrance. Cowden syndrome is characterized by hamartomatous lesions affecting derivatives of ectodermal, mesodermal and endodermal layers, macrocephaly, facial trichilemmomas (benign tumors of the hair follicle infundibulum), acral keratoses, papillomatous papules, and elevated risk for development of several types of malignancy, particularly breast carcinoma in women and thyroid carcinoma in both men and women. Colon cancer and renal cell carcinoma have also been reported. Hamartomas can be found in virtually every organ, but most commonly in the skin, gastrointestinal tract, breast and thyroid.
P31751||Defects in AKT2 are a cause of susceptibility to breast cancer (BC). AKT2 promotes metastasis of tumor cells without affecting the latency of tumor development. With AKT3, plays also a pivotal role in the biology of glioblastoma.|
P31751|Diabetes mellitus, non-insulin-dependent|The disease is caused by mutations affecting the gene represented in this entry.|A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to the bodys own insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
P31751|Diabetes mellitus, non-insulin-dependent|The disease is caused by mutations affecting the gene represented in this entry.|A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to the bodys own insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
P31751||The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by hypoglycemia, low insulin levels, low serum levels of ketone bodies and branched-chain amino acids, left-sided hemihypertrophy, neonatal macrosomia, reduced consciousness and hypoglycemic seizures.
Q9Y243||AKT3 is a key modulator of several tumors like melanoma, glioma and ovarian cancer. Active AKT3 increases progressively during melanoma tumor progression with highest levels present in advanced-stage metastatic melanomas. Promotes melanoma tumorigenesis by decreasing apoptosis. Plays a key role in the genesis of ovarian cancers through modulation of G2/M phase transition. With AKT2, plays a pivotal role in the biology of glioblastoma.|
Q9Y243|Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by megalencephaly, hydrocephalus, and polymicrogyria; polydactyly may also be seen. There is considerable phenotypic similarity between this disorder and the megalencephaly-capillary malformation syndrome.
Q9Y243|Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by megalencephaly, hydrocephalus, and polymicrogyria; polydactyly may also be seen. There is considerable phenotypic similarity between this disorder and the megalencephaly-capillary malformation syndrome.
Q9Y243|Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by megalencephaly, hydrocephalus, and polymicrogyria; polydactyly may also be seen. There is considerable phenotypic similarity between this disorder and the megalencephaly-capillary malformation syndrome.
Q9Y243|Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by megalencephaly, hydrocephalus, and polymicrogyria; polydactyly may also be seen. There is considerable phenotypic similarity between this disorder and the megalencephaly-capillary malformation syndrome.
O14578|Microcephaly 17, primary, autosomal recessive|The disease is caused by mutations affecting the gene represented in this entry.|A form of microcephaly, a disease defined as a head circumference more than 3 standard deviations below the age, sex and ethnically matched mean. Brain weight is markedly reduced and the cerebral cortex is disproportionately small. MCPH17 is a severe form characterized by lissencephaly, enlarged ventricles, agenesis of the corpus callosum, cerebellar hypoplasia, and brainstem hypoplasia. Patients manifest delayed psychomotor development, intellectual disability, spasticity, axial hypotonia, and dysmorphic features.
