uniprot|item
P31749|11
P31749|12
P31749|17
P31749|18
P31749|20
P31749|22
P31749|25
P31749|28
P31749|29
P31749|31
P31749|37
P31749|42
P31749|46
P31749|49
P31749|52
P31749|54
P31749|56
P31749|57
P31749|59
P31749|61
P31749|76
P31749|84
P31749|85
P31749|87
P31749|88
P31749|89
P31749|11
P31749|12
P31749|17
P31749|18
P31749|20
P31749|22
P31749|25
P31749|28
P31749|29
P31749|31
P31749|37
P31749|42
P31749|46
P31749|49
P31749|52
P31749|54
P31749|56
P31749|57
P31749|59
P31749|61
P31749|76
P31749|84
P31749|85
P31749|87
P31749|88
P31749|89
Q9Y243|16
Q9Y243|21
Q9Y243|16
Q9Y243|21
Q5VT25|7
Q5VT25|16
Q5VT25|17
Q5VT25|18
Q5VT25|22
Q5VT25|23
Q5VT25|24
Q5VT25|25
Q5VT25|26
Q5VT25|27
Q5VT25|7
Q5VT25|16
Q5VT25|17
Q5VT25|18
Q5VT25|22
Q5VT25|23
Q5VT25|24
Q5VT25|25
Q5VT25|26
Q5VT25|27
Q5VT25|7
Q5VT25|16
Q5VT25|17
Q5VT25|18
Q5VT25|22
Q5VT25|23
Q5VT25|24
Q5VT25|25
Q5VT25|26
Q5VT25|27
Q5VT25|7
Q5VT25|16
Q5VT25|17
Q5VT25|18
Q5VT25|22
Q5VT25|23
Q5VT25|24
Q5VT25|25
Q5VT25|26
Q5VT25|27
Q5VT25|7
Q5VT25|16
Q5VT25|17
Q5VT25|18
Q5VT25|22
Q5VT25|23
Q5VT25|24
Q5VT25|25
Q5VT25|26
Q5VT25|27
Q5VT25|7
Q5VT25|16
Q5VT25|17
Q5VT25|18
Q5VT25|22
Q5VT25|23
Q5VT25|24
Q5VT25|25
Q5VT25|26
Q5VT25|27
O14578|16
O14578|17
O14578|20
O14578|21
O14578|16
O14578|17
O14578|20
O14578|21
O14578|16
O14578|17
O14578|20
O14578|21
O14578|16
O14578|17
O14578|20
O14578|21
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
Q09013|7
Q09013|9
Q09013|10
Q09013|16
Q09013|21
Q09013|22
P32298|11
P32298|13
P32298|11
P32298|13
P32298|11
P32298|13
P32298|11
P32298|13
P43250|6
P43250|12
P43250|13
P43250|6
P43250|12
P43250|13
P43250|6
P43250|12
P43250|13
O95835|10
O95835|11
O95835|12
O95835|13
O95835|16
O95835|18
O95835|20
O95835|10
O95835|11
O95835|12
O95835|13
O95835|16
O95835|18
O95835|20
Q6P0Q8|11
Q6P0Q8|11
Q96GX5|12
Q96GX5|15
Q96GX5|16
Q96GX5|17
Q96GX5|18
Q96GX5|12
Q96GX5|15
Q96GX5|16
Q96GX5|17
Q96GX5|18
Q96GX5|12
Q96GX5|15
Q96GX5|16
Q96GX5|17
Q96GX5|18
O15530|11
O15530|14
O15530|15
O15530|17
O15530|20
O15530|21
O15530|26
O15530|27
O15530|30
O15530|31
O15530|34
O15530|39
O15530|40
O15530|42
O15530|43
O15530|11
O15530|14
O15530|15
O15530|17
O15530|20
O15530|21
O15530|26
O15530|27
O15530|30
O15530|31
O15530|34
O15530|39
O15530|40
O15530|42
O15530|43
O15530|11
O15530|14
O15530|15
O15530|17
O15530|20
O15530|21
O15530|26
O15530|27
O15530|30
O15530|31
O15530|34
O15530|39
O15530|40
O15530|42
O15530|43
O15530|11
O15530|14
O15530|15
O15530|17
O15530|20
O15530|21
O15530|26
O15530|27
O15530|30
O15530|31
O15530|34
O15530|39
O15530|40
O15530|42
O15530|43
O15530|11
O15530|14
O15530|15
O15530|17
O15530|20
O15530|21
O15530|26
O15530|27
O15530|30
O15530|31
O15530|34
O15530|39
O15530|40
O15530|42
O15530|43
Q16512|28
Q16512|29
Q16512|35
Q16512|38
Q16512|39
Q16512|41
Q16512|42
Q16512|43
Q16512|46
Q16512|48
Q16512|49
Q16512|28
Q16512|29
Q16512|35
Q16512|38
Q16512|39
Q16512|41
Q16512|42
Q16512|43
Q16512|46
Q16512|48
Q16512|49
Q16512|28
Q16512|29
Q16512|35
Q16512|38
Q16512|39
Q16512|41
Q16512|42
Q16512|43
Q16512|46
Q16512|48
Q16512|49
Q16513|16
Q16513|19
Q16513|21
Q16513|22
Q16513|23
Q16513|24
Q16513|25
Q16513|27
Q16513|28
Q16513|29
Q16513|30
Q16513|31
Q16513|24
Q16513|16
Q16513|19
Q16513|21
Q16513|22
Q16513|23
Q16513|24
Q16513|25
Q16513|27
Q16513|28
Q16513|29
Q16513|30
Q16513|31
Q16513|24
Q16513|16
Q16513|19
Q16513|21
Q16513|22
Q16513|23
Q16513|24
Q16513|25
Q16513|27
Q16513|28
Q16513|29
Q16513|30
Q16513|31
Q16513|24
Q16513|16
Q16513|19
Q16513|21
Q16513|22
Q16513|23
Q16513|24
Q16513|25
Q16513|27
Q16513|28
Q16513|29
Q16513|30
Q16513|31
Q16513|24
Q16513|16
Q16513|19
Q16513|21
Q16513|22
Q16513|23
Q16513|24
Q16513|25
Q16513|27
Q16513|28
Q16513|29
Q16513|30
Q16513|31
Q16513|24
P17612|16
P17612|17
P17612|18
P17612|20
P17612|22
P17612|23
P17612|26
P17612|27
P17612|29
P17612|32
P17612|33
P17612|34
P17612|36
P17612|16
P17612|17
P17612|18
P17612|20
P17612|22
P17612|23
P17612|26
P17612|27
P17612|29
P17612|32
P17612|33
P17612|34
P17612|36
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P22694|8
P22694|10
P22694|11
P05771|7
P05771|13
P05771|19
P05771|20
P05771|21
P05771|7
P05771|13
P05771|19
P05771|20
P05771|21
Q05655|11
Q05655|17
Q05655|20
Q05655|22
Q05655|24
Q05655|28
Q05655|29
Q05655|30
Q05655|11
Q05655|17
Q05655|20
Q05655|22
Q05655|24
Q05655|28
Q05655|29
Q05655|30
P05129|4
P05129|5
P05129|13
P05129|4
P05129|5
P05129|13
P24723|12
P24723|13
P24723|14
P24723|15
P24723|17
P24723|20
P24723|21
P24723|23
P24723|24
P24723|25
P24723|12
P24723|13
P24723|14
P24723|15
P24723|17
P24723|20
P24723|21
P24723|23
P24723|24
P24723|25
Q04759|17
Q04759|19
Q04759|21
Q04759|23
Q04759|24
Q04759|25
Q04759|27
Q04759|29
Q04759|17
Q04759|19
Q04759|21
Q04759|23
Q04759|24
Q04759|25
Q04759|27
Q04759|29
Q04759|17
Q04759|19
Q04759|21
Q04759|23
Q04759|24
Q04759|25
Q04759|27
Q04759|29
Q05513|11
Q05513|15
Q05513|19
Q05513|21
Q05513|24
Q05513|27
Q05513|31
Q05513|5
Q05513|11
Q05513|15
Q05513|19
Q05513|21
Q05513|24
Q05513|27
Q05513|31
Q05513|5
Q05513|11
Q05513|15
Q05513|19
Q05513|21
Q05513|24
Q05513|27
Q05513|31
Q05513|5
Q13976|18
Q13976|19
Q13976|20
Q13976|21
Q13976|22
Q13976|23
Q13976|25
Q13976|35
Q13976|18
Q13976|19
Q13976|20
Q13976|21
Q13976|22
Q13976|23
Q13976|25
Q13976|35
Q13976|18
Q13976|19
Q13976|20
Q13976|21
Q13976|22
Q13976|23
Q13976|25
Q13976|35
Q13237|5
Q13237|6
Q13237|5
Q13237|6
Q15418|15
Q15418|16
Q15418|18
Q15418|19
Q15418|20
Q15418|22
Q15418|23
Q15418|24
Q15418|25
Q15418|26
Q15418|28
Q15418|30
Q15418|31
Q15418|33
Q15418|15
Q15418|16
Q15418|18
Q15418|19
Q15418|20
Q15418|22
Q15418|23
Q15418|24
Q15418|25
Q15418|26
Q15418|28
Q15418|30
Q15418|31
Q15418|33
Q15418|15
Q15418|16
Q15418|18
Q15418|19
Q15418|20
Q15418|22
Q15418|23
Q15418|24
Q15418|25
Q15418|26
Q15418|28
Q15418|30
Q15418|31
Q15418|33
Q15418|15
Q15418|16
Q15418|18
Q15418|19
Q15418|20
Q15418|22
Q15418|23
Q15418|24
Q15418|25
Q15418|26
Q15418|28
Q15418|30
Q15418|31
Q15418|33
Q15349|6
Q15349|8
Q15349|6
Q15349|8
Q15349|6
Q15349|8
O75676|8
O75676|9
O75676|11
O75676|8
O75676|9
O75676|11
O75582|6
O75582|8
O75582|9
O75582|10
O75582|11
O75582|12
O75582|13
O75582|17
O75582|19
O75582|20
O75582|21
O75582|6
O75582|8
O75582|9
O75582|10
O75582|11
O75582|12
O75582|13
O75582|17
O75582|19
O75582|20
O75582|21
O75582|6
O75582|8
O75582|9
O75582|10
O75582|11
O75582|12
O75582|13
O75582|17
O75582|19
O75582|20
O75582|21
Q9UK32|6
Q9UK32|7
Q9UK32|6
Q9UK32|7
P23443|16
P23443|18
P23443|19
P23443|20
P23443|21
P23443|22
P23443|24
P23443|25
P23443|28
P23443|30
P23443|31
P23443|33
P23443|35
P23443|36
P23443|37
P23443|39
P23443|16
P23443|18
P23443|19
P23443|20
P23443|21
P23443|22
P23443|24
P23443|25
P23443|28
P23443|30
P23443|31
P23443|33
P23443|35
P23443|36
P23443|37
P23443|39
P23443|16
P23443|18
P23443|19
P23443|20
P23443|21
P23443|22
P23443|24
P23443|25
P23443|28
P23443|30
P23443|31
P23443|33
P23443|35
P23443|36
P23443|37
P23443|39
P23443|16
P23443|18
P23443|19
P23443|20
P23443|21
P23443|22
P23443|24
P23443|25
P23443|28
P23443|30
P23443|31
P23443|33
P23443|35
P23443|36
P23443|37
P23443|39
P23443|16
P23443|18
P23443|19
P23443|20
P23443|21
P23443|22
P23443|24
P23443|25
P23443|28
P23443|30
P23443|31
P23443|33
P23443|35
P23443|36
P23443|37
P23443|39
Q9UBS0|10
Q9UBS0|10
O00141|10
O00141|12
O00141|13
O00141|14
O00141|15
O00141|17
O00141|18
O00141|19
O00141|20
O00141|21
O00141|22
O00141|23
O00141|24
O00141|25
O00141|26
O00141|27
O00141|29
O00141|30
O00141|31
O00141|32
O00141|33
O00141|34
O00141|35
O00141|37
O00141|39
O00141|40
O00141|41
O00141|44
O00141|45
O00141|47
O00141|48
O00141|49
O00141|10
O00141|12
O00141|13
O00141|14
O00141|15
O00141|17
O00141|18
O00141|19
O00141|20
O00141|21
O00141|22
O00141|23
O00141|24
O00141|25
O00141|26
O00141|27
O00141|29
O00141|30
O00141|31
O00141|32
O00141|33
O00141|34
O00141|35
O00141|37
O00141|39
O00141|40
O00141|41
O00141|44
O00141|45
O00141|47
O00141|48
O00141|49
O00141|10
O00141|12
O00141|13
O00141|14
O00141|15
O00141|17
O00141|18
O00141|19
O00141|20
O00141|21
O00141|22
O00141|23
O00141|24
O00141|25
O00141|26
O00141|27
O00141|29
O00141|30
O00141|31
O00141|32
O00141|33
O00141|34
O00141|35
O00141|37
O00141|39
O00141|40
O00141|41
O00141|44
O00141|45
O00141|47
O00141|48
O00141|49
O00141|10
O00141|12
O00141|13
O00141|14
O00141|15
O00141|17
O00141|18
O00141|19
O00141|20
O00141|21
O00141|22
O00141|23
O00141|24
O00141|25
O00141|26
O00141|27
O00141|29
O00141|30
O00141|31
O00141|32
O00141|33
O00141|34
O00141|35
O00141|37
O00141|39
O00141|40
O00141|41
O00141|44
O00141|45
O00141|47
O00141|48
O00141|49
O00141|10
O00141|12
O00141|13
O00141|14
O00141|15
O00141|17
O00141|18
O00141|19
O00141|20
O00141|21
O00141|22
O00141|23
O00141|24
O00141|25
O00141|26
O00141|27
O00141|29
O00141|30
O00141|31
O00141|32
O00141|33
O00141|34
O00141|35
O00141|37
O00141|39
O00141|40
O00141|41
O00141|44
O00141|45
O00141|47
O00141|48
O00141|49
Q9HBY8|7
Q9HBY8|8
Q9HBY8|9
Q9HBY8|10
Q9HBY8|11
Q9HBY8|13
Q9HBY8|14
Q9HBY8|7
Q9HBY8|8
Q9HBY8|9
Q9HBY8|10
Q9HBY8|11
Q9HBY8|13
Q9HBY8|14
Q9HBY8|7
Q9HBY8|8
Q9HBY8|9
Q9HBY8|10
Q9HBY8|11
Q9HBY8|13
Q9HBY8|14
Q96BR1|8
Q96BR1|9
Q96BR1|10
Q96BR1|11
Q96BR1|12
Q96BR1|13
Q96BR1|14
Q96BR1|16
Q96BR1|17
Q96BR1|18
Q96BR1|19
Q96BR1|20
Q96BR1|21
Q96BR1|22
Q96BR1|23
Q96BR1|25
Q96BR1|27
Q96BR1|29
Q96BR1|30
Q96BR1|31
Q96BR1|33
Q96BR1|8
Q96BR1|9
Q96BR1|10
Q96BR1|11
Q96BR1|12
Q96BR1|13
Q96BR1|14
Q96BR1|16
Q96BR1|17
Q96BR1|18
Q96BR1|19
Q96BR1|20
Q96BR1|21
Q96BR1|22
Q96BR1|23
Q96BR1|25
Q96BR1|27
Q96BR1|29
Q96BR1|30
Q96BR1|31
Q96BR1|33
Q9Y2H1|2
Q9Y2H1|6
Q9Y2H1|7
Q9Y2H1|2
Q9Y2H1|6
Q9Y2H1|7
Q8TDC3|8
Q8TDC3|9
Q8TDC3|13
Q8TDC3|14
Q8TDC3|8
Q8TDC3|9
Q8TDC3|13
Q8TDC3|14
Q8TDC3|8
Q8TDC3|9
Q8TDC3|13
Q8TDC3|14
Q8IWQ3|8
Q8IWQ3|12
Q8IWQ3|13
Q8IWQ3|15
Q8IWQ3|16
Q8IWQ3|17
Q8IWQ3|8
Q8IWQ3|12
Q8IWQ3|13
Q8IWQ3|15
Q8IWQ3|16
Q8IWQ3|17
Q8IWQ3|8
Q8IWQ3|12
Q8IWQ3|13
Q8IWQ3|15
Q8IWQ3|16
Q8IWQ3|17
Q8IWQ3|8
Q8IWQ3|12
Q8IWQ3|13
Q8IWQ3|15
Q8IWQ3|16
Q8IWQ3|17
Q8IWQ3|8
Q8IWQ3|12
Q8IWQ3|13
Q8IWQ3|15
Q8IWQ3|16
Q8IWQ3|17
Q8IWQ3|8
Q8IWQ3|12
Q8IWQ3|13
Q8IWQ3|15
Q8IWQ3|16
Q8IWQ3|17
Q8IU85|7
Q8IU85|9
Q8IU85|10
Q8IU85|11
Q8IU85|7
Q8IU85|9
Q8IU85|10
Q8IU85|11
Q96NX5|2
Q96NX5|2
Q9UQM7|5
Q9UQM7|10
Q9UQM7|12
Q9UQM7|13
Q9UQM7|5
Q9UQM7|10
Q9UQM7|12
Q9UQM7|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13554|10
Q13554|13
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13557|13
Q13557|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
Q13555|14
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
O96017|9
O96017|12
O96017|14
O96017|16
O96017|25
O96017|28
O96017|30
O96017|31
O96017|42
O96017|46
O96017|47
O96017|48
O96017|49
O96017|50
O96017|51
O96017|53
O96017|56
O96017|57
O96017|58
O96017|59
Q9UIK4|13
Q9UIK4|15
Q9UIK4|16
Q9UIK4|13
Q9UIK4|15
Q9UIK4|16
O43293|9
O43293|10
O43293|11
O43293|12
O43293|13
O43293|15
O43293|18
O43293|19
O43293|20
O43293|23
O43293|25
O43293|27
O43293|28
O43293|29
O43293|30
O43293|31
O43293|9
O43293|10
O43293|11
O43293|12
O43293|13
O43293|15
O43293|18
O43293|19
O43293|20
O43293|23
O43293|25
O43293|27
O43293|28
O43293|29
O43293|30
O43293|31
Q8N568|2
Q8N568|2
Q8N568|2
O60229|15
O60229|15
O60229|15
O60229|15
O60229|15
P49137|15
P49137|16
P49137|18
P49137|19
P49137|20
P49137|21
P49137|22
P49137|24
P49137|25
P49137|26
P49137|32
P49137|34
P49137|35
P49137|37
P49137|38
P49137|39
P49137|40
P49137|15
P49137|16
P49137|18
P49137|19
P49137|20
P49137|21
P49137|22
P49137|24
P49137|25
P49137|26
P49137|32
P49137|34
P49137|35
P49137|37
P49137|38
P49137|39
P49137|40
Q8IW41|10
Q8IW41|12
Q8IW41|13
Q8IW41|14
Q8IW41|15
Q8IW41|10
Q8IW41|12
Q8IW41|13
Q8IW41|14
Q8IW41|15
