ref_item|ref_id
37|P31749_1
44|P31749_1
50|P31749_1
37|P31749_2
44|P31749_2
50|P31749_2
37|P31749_1
44|P31749_1
50|P31749_1
37|P31749_2
44|P31749_2
50|P31749_2
26|Q5VT25_1
25|Q5VT25_2
26|Q5VT25_2
26|Q5VT25_1
25|Q5VT25_2
26|Q5VT25_2
26|Q5VT25_1
25|Q5VT25_2
26|Q5VT25_2
26|Q5VT25_1
25|Q5VT25_2
26|Q5VT25_2
26|Q5VT25_1
25|Q5VT25_2
26|Q5VT25_2
26|Q5VT25_1
25|Q5VT25_2
26|Q5VT25_2
10|O95835_1
12|O95835_1
10|O95835_2
12|O95835_2
10|O95835_1
12|O95835_1
10|O95835_2
12|O95835_2
12|Q6P0Q8_1
12|Q6P0Q8_2
12|Q6P0Q8_1
12|Q6P0Q8_2
19|Q96GX5_1
19|Q96GX5_2
19|Q96GX5_1
19|Q96GX5_2
19|Q96GX5_1
19|Q96GX5_2
38|Q16512_1
38|Q16512_2
38|Q16512_1
38|Q16512_2
38|Q16512_1
38|Q16512_2
20|P05771_1
21|P05771_1
20|P05771_2
20|P05771_1
21|P05771_1
20|P05771_2
28|Q05655_1
28|Q05655_2
16|Q05655_3
28|Q05655_1
28|Q05655_2
16|Q05655_3
19|Q05513_1
21|Q05513_1
27|Q05513_1
19|Q05513_2
21|Q05513_2
27|Q05513_2
19|Q05513_1
21|Q05513_1
27|Q05513_1
19|Q05513_2
21|Q05513_2
27|Q05513_2
19|Q05513_1
21|Q05513_1
27|Q05513_1
19|Q05513_2
21|Q05513_2
27|Q05513_2
11|O75676_1
11|O75676_2
11|O75676_1
11|O75676_2
10|O75582_1
20|O75582_1
21|O75582_1
10|O75582_2
20|O75582_2
21|O75582_2
10|O75582_1
20|O75582_1
21|O75582_1
10|O75582_2
20|O75582_2
21|O75582_2
10|O75582_1
20|O75582_1
21|O75582_1
10|O75582_2
20|O75582_2
21|O75582_2
28|P23443_1
30|P23443_1
31|P23443_1
39|P23443_1
28|P23443_2
30|P23443_2
31|P23443_2
39|P23443_2
28|P23443_1
30|P23443_1
31|P23443_1
39|P23443_1
28|P23443_2
30|P23443_2
31|P23443_2
39|P23443_2
28|P23443_1
30|P23443_1
31|P23443_1
39|P23443_1
28|P23443_2
30|P23443_2
31|P23443_2
39|P23443_2
28|P23443_1
30|P23443_1
31|P23443_1
39|P23443_1
28|P23443_2
30|P23443_2
31|P23443_2
39|P23443_2
28|P23443_1
30|P23443_1
31|P23443_1
39|P23443_1
28|P23443_2
30|P23443_2
31|P23443_2
39|P23443_2
14|Q8TDC3_1
14|Q8TDC3_2
14|Q8TDC3_3
14|Q8TDC3_4
14|Q8TDC3_1
14|Q8TDC3_2
14|Q8TDC3_3
14|Q8TDC3_4
14|Q8TDC3_1
14|Q8TDC3_2
14|Q8TDC3_3
14|Q8TDC3_4
8|Q8IU85_1
8|Q8IU85_2
8|Q8IU85_1
8|Q8IU85_2
10|Q9UQM7_1
10|Q9UQM7_2
10|Q9UQM7_1
10|Q9UQM7_2
9|Q9UIK4_1
16|Q9UIK4_1
9|Q9UIK4_2
16|Q9UIK4_2
9|Q9UIK4_1
16|Q9UIK4_1
9|Q9UIK4_2
16|Q9UIK4_2
9|O43293_1
10|O43293_1
11|O43293_1
13|O43293_1
19|O43293_1
25|O43293_1
9|O43293_2
10|O43293_2
11|O43293_2
13|O43293_2
19|O43293_2
25|O43293_2
9|O43293_1
10|O43293_1
11|O43293_1
13|O43293_1
19|O43293_1
25|O43293_1
9|O43293_2
10|O43293_2
11|O43293_2
13|O43293_2
19|O43293_2
25|O43293_2
17|P49137_1
40|P49137_1
17|P49137_2
40|P49137_2
17|P49137_1
40|P49137_1
17|P49137_2
40|P49137_2
15|Q9P0L2_1
15|Q9P0L2_2
15|Q9P0L2_1
15|Q9P0L2_2
15|Q9P0L2_1
15|Q9P0L2_2
22|Q7KZI7_1
22|Q7KZI7_2
22|Q7KZI7_1
22|Q7KZI7_2
22|Q7KZI7_1
22|Q7KZI7_2
22|Q7KZI7_1
22|Q7KZI7_2
22|Q7KZI7_1
22|Q7KZI7_2
22|Q7KZI7_1
