ref_item|uniprot|react_id
37|P31749|1
44|P31749|1
50|P31749|1
37|P31749|2
44|P31749|2
50|P31749|2
26|Q5VT25|1
25|Q5VT25|2
26|Q5VT25|2
17|Q9Y5S2|1
34|Q9Y5S2|1
17|Q9Y5S2|2
34|Q9Y5S2|2
12|Q6DT37|1
12|Q6DT37|2
9|Q15835|1
9|Q15835|2
20|P25098|1
8|Q8WTQ7|1
8|Q8WTQ7|2
10|O95835|1
12|O95835|1
10|O95835|2
12|O95835|2
9|Q9NRM7|1
9|Q9NRM7|2
4|Q9Y2H9|1
4|Q9Y2H9|2
12|Q6P0Q8|1
12|Q6P0Q8|2
19|Q96GX5|1
19|Q96GX5|2
38|Q16512|1
38|Q16512|2
20|P05771|1
21|P05771|1
20|P05771|2
28|Q05655|1
28|Q05655|2
16|Q05655|3
19|Q05513|1
21|Q05513|1
27|Q05513|1
19|Q05513|2
21|Q05513|2
27|Q05513|2
5|P51817|1
6|P51817|1
5|P51817|2
6|P51817|2
27|Q13464|1
28|Q13464|1
29|Q13464|1
47|Q13464|1
48|Q13464|1
27|Q13464|2
28|Q13464|2
29|Q13464|2
47|Q13464|2
48|Q13464|2
32|P51812|1
11|O75676|1
11|O75676|2
10|O75582|1
20|O75582|1
21|O75582|1
10|O75582|2
20|O75582|2
21|O75582|2
28|P23443|1
30|P23443|1
31|P23443|1
39|P23443|1
28|P23443|2
30|P23443|2
31|P23443|2
39|P23443|2
14|Q8TDC3|1
14|Q8TDC3|2
14|Q8TDC3|3
14|Q8TDC3|4
8|Q8IU85|1
8|Q8IU85|2
10|Q9UQM7|1
10|Q9UQM7|2
9|Q9UIK4|1
16|Q9UIK4|1
9|Q9UIK4|2
16|Q9UIK4|2
9|O43293|1
10|O43293|1
11|O43293|1
13|O43293|1
19|O43293|1
25|O43293|1
9|O43293|2
10|O43293|2
11|O43293|2
13|O43293|2
19|O43293|2
25|O43293|2
17|P49137|1
40|P49137|1
17|P49137|2
40|P49137|2
22|Q16644|1
22|Q16644|2
15|Q9P0L2|1
15|Q9P0L2|2
22|Q7KZI7|1
22|Q7KZI7|2
9|Q96L34|1
11|Q96L34|1
15|Q96L34|1
9|Q96L34|2
11|Q96L34|2
15|Q96L34|2
16|Q14680|1
23|Q14680|1
23|Q14680|2
23|Q14680|3
8|Q9BUB5|1
12|Q9BUB5|1
8|Q9BUB5|2
12|Q9BUB5|2
12|Q9HBH9|1
12|Q9HBH9|2
4|Q8IY84|1
4|Q8IY84|2
7|Q9H093|1
8|Q9H093|1
7|Q9H093|2
8|Q9H093|2
21|Q5VST9|1
21|Q5VST9|2
13|P11309|1
15|P11309|1
17|P11309|1
13|P11309|2
15|P11309|2
17|P11309|2
12|Q13131|1
12|Q13131|2
12|Q13131|3
12|Q13131|4
8|P54646|1
8|P54646|2
8|P54646|3
8|P54646|4
15|Q9BZL6|1
16|Q9BZL6|1
23|Q9BZL6|1
29|Q9BZL6|1
15|Q9BZL6|2
16|Q9BZL6|2
23|Q9BZL6|2
29|Q9BZL6|2
8|P57059|1
12|P57059|1
15|P57059|1
8|P57059|2
12|P57059|2
15|P57059|2
1|A0A0B4J2F2|1
1|A0A0B4J2F2|2
12|Q9H0K1|1
12|Q9H0K1|2
17|Q9Y2K2|1
17|Q9Y2K2|2
11|Q9NRH2|1
14|Q9NRH2|1
11|Q9NRH2|2
14|Q9NRH2|2
18|Q15831|1
18|Q15831|2
8|Q9BXA7|1
8|Q9BXA7|2
10|Q96PF2|1
10|Q96PF2|2
4|Q6SA08|1
4|Q6SA08|2
5|Q9BXA6|1
6|Q9BXA6|1
5|Q9BXA6|2
6|Q9BXA6|2
9|Q5TCY1|1
9|Q5TCY1|2
9|Q6IQ55|1
9|Q6IQ55|2
22|Q99986|1
22|Q99986|2
40|P06493|1
40|P06493|2
6|Q15131|1
6|Q15131|2
20|Q14004|1
20|Q14004|2
20|Q14004|3
5|Q96Q40|1
5|Q96Q40|2
13|Q00536|1
14|Q00536|1
15|Q00536|1
13|Q00536|2
14|Q00536|2
15|Q00536|2
31|P24941|1
61|P24941|1
67|P24941|1
31|P24941|2
61|P24941|2
67|P24941|2
