uniprot_id|ensembl_gene_id|ensembl_transcript_id|ensembl_translation_id
P05198|ENSG00000134001|ENST00000256383|ENSP00000256383
P05198|ENSG00000134001|ENST00000466499|ENSP00000425299
Q9UQL6|ENSG00000108840|ENST00000586802|ENSP00000468004
P61978|ENSG00000165119|ENST00000351839|ENSP00000317788
P61978|ENSG00000165119|ENST00000360384|ENSP00000353552
Q9UQ13|ENSG00000108061|ENST00000369452|ENSP00000358464
P53004|ENSG00000106605|ENST00000265523|ENSP00000265523
P53004|ENSG00000106605|ENST00000402924|ENSP00000385757
P35611|ENSG00000087274|ENST00000398129|ENSP00000381197
P14598|ENSG00000158517|ENST00000289473|ENSP00000289473
Q8TCJ0|ENSG00000147364|ENST00000382824|ENSP00000372274
Q16206|ENSG00000165675|ENST00000370927|ENSP00000359965
Q16206|ENSG00000165675|ENST00000338144|ENSP00000337146
P19429|ENSG00000129991|ENST00000344887|ENSP00000341838
P15407|ENSG00000175592|ENST00000312562|ENSP00000310170
O76090|ENSG00000167995|ENST00000378043|ENSP00000367282
Q9UBS0|ENSG00000175634|ENST00000312629|ENSP00000308413
Q9H257|ENSG00000187796|ENST00000371732|ENSP00000360797
Q05655|ENSG00000163932|ENST00000394729|ENSP00000378217
Q05655|ENSG00000163932|ENST00000330452|ENSP00000331602
Q05655|ENSG00000163932|ENST00000652449|ENSP00000498400
Q05655|ENSG00000163932|ENST00000650739|ENSP00000498623
Q05655|ENSG00000163932|ENST00000654719|ENSP00000499558
P13796|ENSG00000136167|ENST00000323076|ENSP00000315757
P13796|ENSG00000136167|ENST00000398576|ENSP00000381581
Q9HBA0|ENSG00000111199|ENST00000418703|ENSP00000406191
Q9HBA0|ENSG00000111199|ENST00000261740|ENSP00000261740
Q13501|ENSG00000161011|ENST00000389805|ENSP00000374455
Q13501|ENSG00000284099|ENST00000640444|ENSP00000491834
Q13501|ENSG00000284099|ENST00000643389|ENSP00000495843
P05787|ENSG00000170421|ENST00000293308|ENSP00000293308
P05787|ENSG00000170421|ENST00000552551|ENSP00000447566
P05787|ENSG00000170421|ENST00000546897|ENSP00000447402
P04406|ENSG00000111640|ENST00000229239|ENSP00000229239
P04406|ENSG00000111640|ENST00000396861|ENSP00000380070
P04406|ENSG00000111640|ENST00000396859|ENSP00000380068
Q02297-6|ENSG00000157168|ENST00000287842|ENSP00000287842
P51398|ENSG00000132676|ENST00000343043|ENSP00000341692
P51398|ENSG00000132676|ENST00000368336|ENSP00000357320
P42224|ENSG00000115415|ENST00000409465|ENSP00000386244
P42224|ENSG00000115415|ENST00000361099|ENSP00000354394
P62753|ENSG00000137154|ENST00000380394|ENSP00000369757
Q99808|ENSG00000112759|ENST00000427851|ENSP00000392668
Q99808|ENSG00000112759|ENST00000651428|ENSP00000498610
Q99808|ENSG00000112759|ENST00000393844|ENSP00000377427
Q99808|ENSG00000112759|ENST00000652680|ENSP00000498747
Q99808|ENSG00000112759|ENST00000371713|ENSP00000360778
Q99808|ENSG00000112759|ENST00000371755|ENSP00000360820
Q99808|ENSG00000112759|ENST00000652453|ENSP00000499107
Q99808|ENSG00000112759|ENST00000371724|ENSP00000360789
Q99808|ENSG00000112759|ENST00000371708|ENSP00000360773
Q14247|ENSG00000085733|ENST00000301843|ENSP00000301843
Q14247|ENSG00000288401|ENST00000671805|ENSP00000500756
P98082|ENSG00000153071|ENST00000320816|ENSP00000313391
Q15139|ENSG00000184304|ENST00000331968|ENSP00000333568
Q15139|ENSG00000184304|ENST00000616995|ENSP00000482645
P17405|ENSG00000166311|ENST00000342245|ENSP00000340409
P68431|ENSG00000275714|ENST00000613854|ENSP00000480826
P68431|ENSG00000286522|ENST00000621411|ENSP00000484841
P68431|ENSG00000287080|ENST00000612966|ENSP00000484658
P68431|ENSG00000197409|ENST00000356476|ENSP00000366999
P68431|ENSG00000274750|ENST00000634733|ENSP00000489282
P68431|ENSG00000274750|ENST00000614911|ENSP00000482271
P68431|ENSG00000277775|ENST00000618052|ENSP00000484095
P68431|ENSG00000273983|ENST00000614378|ENSP00000484638
P68431|ENSG00000278828|ENST00000369163|ENSP00000358160
P68431|ENSG00000275379|ENST00000616365|ENSP00000483283
P68431|ENSG00000197153|ENST00000359303|ENSP00000352252
P28329-3|ENSG00000070748|ENST00000339797|ENSP00000343486
P28329-3|ENSG00000070748|ENST00000351556|ENSP00000345878
P28329-3|ENSG00000070748|ENST00000395559|ENSP00000378926
P13498|ENSG00000051523|ENST00000261623|ENSP00000261623
P04637|ENSG00000141510|ENST00000269305|ENSP00000269305
P04637|ENSG00000141510|ENST00000445888|ENSP00000391478
Q8TCU6|ENSG00000124126|ENST00000371941|ENSP00000361009
P78536|ENSG00000151694|ENST00000310823|ENSP00000309968
P12830|ENSG00000039068|ENST00000261769|ENSP00000261769
P35568|ENSG00000169047|ENST00000305123|ENSP00000304895
P21730|ENSG00000197405|ENST00000355085|ENSP00000347197
Q9NRY6|ENSG00000187838|ENST00000576201|ENSP00000459419
Q9NRY6|ENSG00000284009|ENST00000640053|ENSP00000491350
