uniprot_id|name|short
P31749-1|Protein kinase BPKB|PKB
P31749-1|Protein kinase B alphaPKB alpha|PKB alpha
P31749-1|Proto-oncogene c-Akt|
P31749-1|RAC-PK-alpha|
P31751-1|Protein kinase Akt-2|
P31751-1|Protein kinase B betaPKB beta|PKB beta
P31751-1|RAC-PK-beta|
P31751-2|Protein kinase Akt-2|
P31751-2|Protein kinase B betaPKB beta|PKB beta
P31751-2|RAC-PK-beta|
Q9Y243-1|Protein kinase Akt-3|
Q9Y243-1|Protein kinase B gammaPKB gamma|PKB gamma
Q9Y243-1|RAC-PK-gamma|
Q9Y243-1|STK-2|
Q9Y243-2|Protein kinase Akt-3|
Q9Y243-2|Protein kinase B gammaPKB gamma|PKB gamma
Q9Y243-2|RAC-PK-gamma|
Q9Y243-2|STK-2|
Q5VT25-1|CDC42-binding protein kinase alpha|
Q5VT25-1|DMPK-like alpha|
Q5VT25-1|Myotonic dystrophy kinase-related CDC42-binding kinase alphaMRCK alphaMyotonic dystrophy protein kinase-like alpha|MRCK alpha
Q5VT25-3|CDC42-binding protein kinase alpha|
Q5VT25-3|DMPK-like alpha|
Q5VT25-3|Myotonic dystrophy kinase-related CDC42-binding kinase alphaMRCK alphaMyotonic dystrophy protein kinase-like alpha|MRCK alpha
Q5VT25-5|CDC42-binding protein kinase alpha|
Q5VT25-5|DMPK-like alpha|
Q5VT25-5|Myotonic dystrophy kinase-related CDC42-binding kinase alphaMyotonic dystrophy protein kinase-like alphaMRCK alpha|Myotonic dystrophy protein kinase-like alpha
O14578-1|Serine/threonine-protein kinase 21|
O14578-2|Serine/threonine-protein kinase 21|
O14578-4|Serine/threonine-protein kinase 21|
Q09013-9|DM-kinaseDMK|DMK
Q09013-9|DM1 protein kinase|
Q09013-9|DMPK|
Q09013-9|Myotonic dystrophy protein kinase|
Q09013-11|DM-kinaseDMK|DMK
Q09013-11|DM1 protein kinase|
Q09013-11|DMPK|
Q09013-11|Myotonic dystrophy protein kinase|
Q09013-15|DM-kinaseDMK|DMK
Q09013-15|DM1 protein kinase|
Q09013-15|DMPK|
Q09013-15|Myotonic dystrophy protein kinase|
Q09013-12|DM-kinaseDMK|DMK
Q09013-12|DM1 protein kinase|
Q09013-12|DMPK|
Q09013-12|Myotonic dystrophy protein kinase|
