uniprot_id|name|short



P16104|Histone H2A.X


















Q13541|Phosphorylated heat- and acid-stable protein regulated by insulin 1PHAS-I
















A6ND01|Folate receptor 4
A6ND01|Folate receptor deltaFR-delta
A6ND01|IZUMO1 receptor protein JUNO



P15927|Replication factor A protein 2RF-A protein 2
P15927|Replication protein A 34 kDa subunitRP-A p34


















Q15911|AT motif-binding factor 1
Q15911|AT-binding transcription factor 1
Q15911|Alpha-fetoprotein enhancer-binding protein
Q15911|Zinc finger homeodomain protein 3ZFH-3


B7Z5N5|SMAD family member
Q9H2G2|STE20-related serine/threonine-protein kinaseSTE20-related kinase
Q9H2G2|Serine/threonine-protein kinase 2
Q9H2G2|CTCL tumor antigen se20-9


Q6DT37|Myotonic dystrophy protein kinase-like alpha
Q6DT37|DMPK-like gamma
Q6DT37|Myotonic dystrophy kinase-related CDC42-binding kinase gammaMRCK gammaMRCKGMyotonic dystrophy protein kinase-like gamma
Q6DT37|CDC42-binding protein kinase gamma




Q12834|p55CDC

Q53HL2|Pluripotent embryonic stem cell-related gene 3 protein
Q53HL2|Dasra-BhDasra-B
Q53HL2|Cell division cycle-associated protein 8














Q9ULW0|Hepatocellular carcinoma-associated antigen 90
Q9ULW0|Hepatocellular carcinoma-associated antigen 519
Q9ULW0|Restricted expression proliferation-associated protein 100p100
Q9ULW0|Protein fls353
Q9ULW0|Differentially expressed in cancerous and non-cancerous lung cells 2DIL-2
Q9P258|RCC1-like protein TD-60
Q9P258|Telophase disk protein of 60 kDa
Q2M2Z5|Polo-like kinase 1 substrate 1




P49959|Double-strand break repair protein MRE11A
P49959|Meiotic recombination 11 homolog 1MRE11 homolog 1
P49959|Meiotic recombination 11 homolog AMRE11 homolog A







P10398|Proto-oncogene A-Raf
P10398|Proto-oncogene A-Raf-1
P10398|Proto-oncogene Pks


Q9P286|p21-activated kinase 5PAK-5
Q9P286|p21-activated kinase 7PAK-7




Q9UPZ9|Intestinal cell kinasehICK
Q9UPZ9|Laryngeal cancer kinase 2LCK2
Q9UPZ9|MAK-related kinaseMRK







Q12778|Forkhead box protein O1A
Q12778|Forkhead in rhabdomyosarcoma

P30086|Prostatic-binding protein
P30086|Raf kinase inhibitor proteinRKIP
P30086|HCNPpp
P30086|Neuropolypeptide h3

O15264|Stress-activated protein kinase 4
O15264|Mitogen-activated protein kinase p38 deltaMAP kinase p38 delta


Q15375|EPH-like kinase 11EK11hEK11
Q15375|EPH homology kinase 3EHK-3

P54760|Hepatoma transmembrane kinase
P54760|Tyrosine-protein kinase TYRO11



P29322|Tyrosine-protein kinase receptor EEK
P29322|EPH- and ELK-related kinase
P29322|EPH-like kinase 3EK3hEK3






















P20042|Eukaryotic translation initiation factor 2 subunit betaeIF-2-beta











Q00534|Serine/threonine-protein kinase PLSTIRE
Q00534|Cell division protein kinase 6





P41743|nPKC-iota
