Family,name,name_human,uniprot
AGC Ser/Thr,AKT1,AKT1_HUMAN,P31749
AGC Ser/Thr,AKT2,AKT2_HUMAN,P31751
AGC Ser/Thr,AKT3,AKT3_HUMAN,Q9Y243
AGC Ser/Thr,CDC42BPA,MRCKA_HUMAN,Q5VT25
AGC Ser/Thr,CDC42BPB,MRCKB_HUMAN,Q9Y5S2
AGC Ser/Thr,CDC42BPG,MRCKG_HUMAN,Q6DT37
AGC Ser/Thr,CIT,CTRO_HUMAN,O14578
AGC Ser/Thr,DMPK,DMPK_HUMAN,Q09013
AGC Ser/Thr,GRK1,GRK1_HUMAN,Q15835
AGC Ser/Thr,GRK2,ARBK1_HUMAN,P25098
AGC Ser/Thr,GRK3,ARBK2_HUMAN,P35626
AGC Ser/Thr,GRK4,GRK4_HUMAN,P32298
AGC Ser/Thr,GRK5,GRK5_HUMAN,P34947
AGC Ser/Thr,GRK6,GRK6_HUMAN,P43250
AGC Ser/Thr,GRK7,GRK7_HUMAN,Q8WTQ7
AGC Ser/Thr,LATS1,LATS1_HUMAN,O95835
AGC Ser/Thr,LATS2,LATS2_HUMAN,Q9NRM7
AGC Ser/Thr,MAST1,MAST1_HUMAN,Q9Y2H9
AGC Ser/Thr,MAST2,MAST2_HUMAN,Q6P0Q8
AGC Ser/Thr,MAST3,MAST3_HUMAN,O60307
AGC Ser/Thr,MAST4,MAST4_HUMAN,O15021
AGC Ser/Thr,MASTL,GWL_HUMAN,Q96GX5
AGC Ser/Thr,PDPK1,PDPK1_HUMAN,O15530
AGC Ser/Thr,PDPK2P,PDPK2_HUMAN,Q6A1A2
AGC Ser/Thr,PKN1,PKN1_HUMAN,Q16512
AGC Ser/Thr,PKN2,PKN2_HUMAN,Q16513
AGC Ser/Thr,PKN3,PKN3_HUMAN,Q6P5Z2
AGC Ser/Thr,PRKACA,KAPCA_HUMAN,P17612
AGC Ser/Thr,PRKACB,KAPCB_HUMAN,P22694
AGC Ser/Thr,PRKACG,KAPCG_HUMAN,P22612
AGC Ser/Thr,PRKCA,KPCA_HUMAN,P17252
AGC Ser/Thr,PRKCB,KPCB_HUMAN,P05771
AGC Ser/Thr,PRKCD,KPCD_HUMAN,Q05655
AGC Ser/Thr,PRKCE,KPCE_HUMAN,Q02156
AGC Ser/Thr,PRKCG,KPCG_HUMAN,P05129
AGC Ser/Thr,PRKCH,KPCL_HUMAN,P24723
AGC Ser/Thr,PRKCI,KPCI_HUMAN,P41743
AGC Ser/Thr,PRKCQ,KPCT_HUMAN,Q04759
AGC Ser/Thr,PRKCZ,KPCZ_HUMAN,Q05513
AGC Ser/Thr,PRKG1,KGP1_HUMAN,Q13976
AGC Ser/Thr,PRKG2,KGP2_HUMAN,Q13237
AGC Ser/Thr,PRKX,PRKX_HUMAN,P51817
AGC Ser/Thr,PRKY,PRKY_HUMAN,O43930
AGC Ser/Thr,ROCK1,ROCK1_HUMAN,Q13464
AGC Ser/Thr,ROCK2,ROCK2_HUMAN,O75116
AGC Ser/Thr,RPS6KA1,KS6A1_HUMAN,Q15418
AGC Ser/Thr,RPS6KA2,KS6A2_HUMAN,Q15349
AGC Ser/Thr,RPS6KA3,KS6A3_HUMAN,P51812
AGC Ser/Thr,RPS6KA4,KS6A4_HUMAN,O75676
AGC Ser/Thr,RPS6KA5,KS6A5_HUMAN,O75582
AGC Ser/Thr,RPS6KA6,KS6A6_HUMAN,Q9UK32
AGC Ser/Thr,RPS6KB1,KS6B1_HUMAN,P23443
AGC Ser/Thr,RPS6KB2,KS6B2_HUMAN,Q9UBS0
AGC Ser/Thr,SGK1,SGK1_HUMAN,O00141
AGC Ser/Thr,SGK2,SGK2_HUMAN,Q9HBY8
AGC Ser/Thr,SGK3,SGK3_HUMAN,Q96BR1
AGC Ser/Thr,STK38,STK38_HUMAN,Q15208
AGC Ser/Thr,STK38L,ST38L_HUMAN,Q9Y2H1
CAMK Ser/Thr,BRSK1,BRSK1_HUMAN,Q8TDC3
CAMK Ser/Thr,BRSK2,BRSK2_HUMAN,Q8IWQ3
CAMK Ser/Thr,CAMK1,KCC1A_HUMAN,Q14012
CAMK Ser/Thr,CAMK1D,KCC1D_HUMAN,Q8IU85
CAMK Ser/Thr,CAMK1G,KCC1G_HUMAN,Q96NX5
CAMK Ser/Thr,CAMK2A,KCC2A_HUMAN,Q9UQM7
CAMK Ser/Thr,CAMK2B,KCC2B_HUMAN,Q13554
CAMK Ser/Thr,CAMK2D,KCC2D_HUMAN,Q13557
CAMK Ser/Thr,CAMK2G,KCC2G_HUMAN,Q13555
CAMK Ser/Thr,CAMK4,KCC4_HUMAN,Q16566
CAMK Ser/Thr,CAMKV,CAMKV_HUMAN,Q8NCB2
CAMK Ser/Thr,CASK,CSKP_HUMAN,O14936
CAMK Ser/Thr,CHEK1,CHK1_HUMAN,O14757
CAMK Ser/Thr,CHEK2,CHK2_HUMAN,O96017
CAMK Ser/Thr,DAPK1,DAPK1_HUMAN,P53355
CAMK Ser/Thr,DAPK2,DAPK2_HUMAN,Q9UIK4
CAMK Ser/Thr,DAPK3,DAPK3_HUMAN,O43293
CAMK Ser/Thr,DCLK1,DCLK1_HUMAN,O15075
CAMK Ser/Thr,DCLK2,DCLK2_HUMAN,Q8N568
CAMK Ser/Thr,DCLK3,DCLK3_HUMAN,Q9C098
CAMK Ser/Thr,HUNK,HUNK_HUMAN,P57058
CAMK Ser/Thr,KALRN,KALRN_HUMAN,O60229
CAMK Ser/Thr,MAPKAPK2,MAPK2_HUMAN,P49137
CAMK Ser/Thr,MAPKAPK3,MAPK3_HUMAN,Q16644
CAMK Ser/Thr,MAPKAPK5,MAPK5_HUMAN,Q8IW41
CAMK Ser/Thr,MARK1,MARK1_HUMAN,Q9P0L2
CAMK Ser/Thr,MARK2,MARK2_HUMAN,Q7KZI7
CAMK Ser/Thr,MARK3,MARK3_HUMAN,P27448
CAMK Ser/Thr,MARK4,MARK4_HUMAN,Q96L34
CAMK Ser/Thr,MELK,MELK_HUMAN,Q14680
CAMK Ser/Thr,MKNK1,MKNK1_HUMAN,Q9BUB5
CAMK Ser/Thr,MKNK2,MKNK2_HUMAN,Q9HBH9
CAMK Ser/Thr,MYLK,MYLK_HUMAN,Q15746
CAMK Ser/Thr,MYLK2,MYLK2_HUMAN,Q9H1R3
CAMK Ser/Thr,MYLK3,MYLK3_HUMAN,Q32MK0
CAMK Ser/Thr,MYLK4,MYLK4_HUMAN,Q86YV6
CAMK Ser/Thr,NIM1K,NIM1_HUMAN,Q8IY84
CAMK Ser/Thr,NUAK1,NUAK1_HUMAN,O60285
CAMK Ser/Thr,NUAK2,NUAK2_HUMAN,Q9H093
CAMK Ser/Thr,OBSCN,OBSCN_HUMAN,Q5VST9
CAMK Ser/Thr,PASK,PASK_HUMAN,Q96RG2
CAMK Ser/Thr,PHKG1,PHKG1_HUMAN,Q16816
CAMK Ser/Thr,PHKG2,PHKG2_HUMAN,P15735
CAMK Ser/Thr,PIM1,PIM1_HUMAN,P11309
CAMK Ser/Thr,PIM2,PIM2_HUMAN,Q9P1W9
CAMK Ser/Thr,PIM3,PIM3_HUMAN,Q86V86
CAMK Ser/Thr,PNCK,KCC1B_HUMAN,Q6P2M8
CAMK Ser/Thr,PRKAA1,AAPK1_HUMAN,Q13131
CAMK Ser/Thr,PRKAA2,AAPK2_HUMAN,P54646
CAMK Ser/Thr,PRKD1,KPCD1_HUMAN,Q15139
CAMK Ser/Thr,PRKD2,KPCD2_HUMAN,Q9BZL6
CAMK Ser/Thr,PRKD3,KPCD3_HUMAN,O94806
CAMK Ser/Thr,PSKH1,KPSH1_HUMAN,P11801
CAMK Ser/Thr,PSKH2,KPSH2_HUMAN,Q96QS6
CAMK Ser/Thr,SIK1,SIK1_HUMAN,P57059
CAMK Ser/Thr,SIK1B,SIK1B_HUMAN,A0A0B4J2F2
CAMK Ser/Thr,SIK2,SIK2_HUMAN,Q9H0K1
CAMK Ser/Thr,SIK3,SIK3_HUMAN,Q9Y2K2
CAMK Ser/Thr,SNRK,SNRK_HUMAN,Q9NRH2
CAMK Ser/Thr,SPEG,SPEG_HUMAN,Q15772
CAMK Ser/Thr,STK11,STK11_HUMAN,Q15831
CAMK Ser/Thr,STK17A,ST17A_HUMAN,Q9UEE5
