uniprot_id|ensembl_gene_id|ensembl_transcript_id|ensembl_translation_id
A0A0A0MSN1|ENSG00000012048|ENST00000412061|ENSP00000397145
A0A087WT52|ENSG00000149554|ENST00000531607|ENSP00000477588
F8WE37|ENSG00000144554|ENST00000435522|ENSP00000402166
F8WE37|ENSG00000144554|ENST00000625535|ENSP00000486945
P16104|ENSG00000188486|ENST00000530167|ENSP00000434024
P16104|ENSG00000188486|ENST00000375167|ENSP00000364310
A0A087X1V5|ENSG00000104320|ENST00000613033|ENSP00000484487
G8JLG1|ENSG00000072501|ENST00000375340|ENSP00000364489
A0A590UJT3|ENSG00000166848|ENST00000653858|ENSP00000499565
A0A087WT22|ENSG00000141510|ENST00000610623|ENSP00000477531
A6NNK5|ENSG00000067369|ENST00000382039|ENSP00000371470
B3KSJ7|ENSG00000152457|ENST00000378242|ENSP00000367488
A0A140TA82|ENSG00000101773|ENST00000583700|ENSP00000464628
A0A087WUW6|ENSG00000269335|ENST00000619941|ENSP00000478979
A0A087X0E9|ENSG00000149311|ENST00000530958|ENSP00000483338
F5GWV8|ENSG00000135090|ENST00000536979|ENSP00000441932
F5GX40|ENSG00000253729|ENST00000540819|ENSP00000441157
A0A0C4DGV9|ENSG00000174405|ENST00000614526|ENSP00000480814
A0A0U1RQJ8|ENSG00000164053|ENST00000634384|ENSP00000489041
A0A494C0M3|ENSG00000165392|ENST00000650667|ENSP00000498593
J3QS76|ENSG00000160551|ENST00000583121|ENSP00000464562
A0A590UJ24|ENSG00000139618|ENST00000666593|ENSP00000499256
F8W7R3|ENSG00000140525|ENST00000447611|ENSP00000413249
A0A024R2R6|ENSG00000164045|ENST00000351231|ENSP00000343166
Q13541|ENSG00000187840|ENST00000338825|ENSP00000340691
A0A3B3IT82|ENSG00000197299|ENST00000648453|ENSP00000497646
C9J276|ENSG00000118260|ENST00000452474|ENSP00000392428
A0A087WZ19|ENSG00000138376|ENST00000619009|ENSP00000482293
A0A087WY56|ENSG00000142208|ENST00000554585|ENSP00000481526
A0A0A0MRF1|ENSG00000105221|ENST00000358335|ENSP00000351095
F8VS91|ENSG00000117020|ENST00000552631|ENSP00000447820
F8VS91|ENSG00000275199|ENST00000629115|ENSP00000487523
B1AKP8|ENSG00000198793|ENST00000376838|ENSP00000366034
B1AL79|ENSG00000065243|ENST00000316005|ENSP00000317851
D6RAN5|ENSG00000067606|ENST00000496325|ENSP00000421869
K7EIM2|ENSG00000108443|ENST00000592726|ENSP00000464805
E9PIP7|ENSG00000175634|ENST00000420069|ENSP00000410175
E5RHR8|ENSG00000104205|ENST00000519396|ENSP00000428529
K7EJF1|ENSG00000167670|ENST00000585854|ENSP00000465142
J3KN97|ENSG00000154229|ENST00000284384|ENSP00000284384
A0A024R2Q3|ENSG00000168036|ENST00000643541|ENSP00000494411
A0A024R2Q3|ENSG00000168036|ENST00000645210|ENSP00000496180
A0A024R2Q3|ENSG00000168036|ENST00000405570|ENSP00000385604
A0A024R2Q3|ENSG00000168036|ENST00000642248|ENSP00000495244
A0A024R2Q3|ENSG00000168036|ENST00000433400|ENSP00000387455
A0A024R2Q3|ENSG00000168036|ENST00000642992|ENSP00000496385
