uniprot_id|ensembl_gene_id|ensembl_transcript_id|ensembl_translation_id
P31749-1|ENSG00000142208|ENST00000554581|ENSP00000451828
P31749-1|ENSG00000142208|ENST00000402615|ENSP00000385326
P31749-1|ENSG00000142208|ENST00000555528|ENSP00000450688
P31749-1|ENSG00000142208|ENST00000554848|ENSP00000451166
P31749-1|ENSG00000142208|ENST00000349310|ENSP00000270202
P31749-1|ENSG00000142208|ENST00000407796|ENSP00000384293
P31749-1|ENSG00000142208|ENST00000649815|ENSP00000497822
P31751-1|ENSG00000105221|ENST00000392038|ENSP00000375892
P31751-2|ENSG00000105221|ENST00000311278|ENSP00000309428
P31751-2|ENSG00000105221|ENST00000424901|ENSP00000399532
Q9Y243-1|ENSG00000275199|ENST00000621586|ENSP00000479081
Q9Y243-1|ENSG00000117020|ENST00000263826|ENSP00000263826
Q9Y243-1|ENSG00000117020|ENST00000673466|ENSP00000500582
Q9Y243-2|ENSG00000275199|ENST00000613395|ENSP00000479922
Q9Y243-2|ENSG00000117020|ENST00000336199|ENSP00000336943
Q9Y243-2|ENSG00000275199|ENST00000619536|ENSP00000483054
Q9Y243-2|ENSG00000117020|ENST00000366540|ENSP00000355498
Q5VT25-1|ENSG00000143776|ENST00000334218|ENSP00000335341
Q5VT25-3|ENSG00000143776|ENST00000366767|ENSP00000355729
Q5VT25-5|ENSG00000143776|ENST00000366769|ENSP00000355731
O14578-1|ENSG00000122966|ENST00000261833|ENSP00000261833
O14578-2|ENSG00000122966|ENST00000612548|ENSP00000482318
O14578-4|ENSG00000122966|ENST00000392521|ENSP00000376306
Q09013-9|ENSG00000104936|ENST00000291270|ENSP00000291270
Q09013-11|ENSG00000104936|ENST00000447742|ENSP00000413417
Q09013-15|ENSG00000104936|ENST00000458663|ENSP00000401753
Q09013-15|ENSG00000104936|ENST00000618091|ENSP00000482746
Q09013-12|ENSG00000104936|ENST00000354227|ENSP00000346168
Q09013-1|ENSG00000104936|ENST00000343373|ENSP00000345997
P32298-1|ENSG00000125388|ENST00000398052|ENSP00000381129
P32298-2|ENSG00000125388|ENST00000345167|ENSP00000264764
P32298-3|ENSG00000125388|ENST00000398051|ENSP00000381128
P32298-4|ENSG00000125388|ENST00000504933|ENSP00000427445
P43250-1|ENSG00000198055|ENST00000355472|ENSP00000347655
P43250-2|ENSG00000198055|ENST00000528793|ENSP00000433511
P43250-3|ENSG00000198055|ENST00000355958|ENSP00000348230
O95835-1|ENSG00000131023|ENST00000253339|ENSP00000253339
O95835-1|ENSG00000131023|ENST00000543571|ENSP00000437550
O95835-2|ENSG00000131023|ENST00000392273|ENSP00000444678
Q6P0Q8-1|ENSG00000086015|ENST00000361297|ENSP00000354671
O15021-5|ENSG00000069020|ENST00000403625|ENSP00000385727
O15021-2|ENSG00000069020|ENST00000261569|ENSP00000261569
O15021-4|ENSG00000069020|ENST00000406374|ENSP00000385088
O15021-3|ENSG00000069020|ENST00000403666|ENSP00000384313
O15021-6|ENSG00000069020|ENST00000405643|ENSP00000384099
Q96GX5-1|ENSG00000120539|ENST00000375940|ENSP00000365107
Q96GX5-2|ENSG00000120539|ENST00000342386|ENSP00000343446
Q96GX5-3|ENSG00000120539|ENST00000375946|ENSP00000365113
O15530-1|ENSG00000140992|ENST00000342085|ENSP00000344220
O15530-4|ENSG00000140992|ENST00000268673|ENSP00000268673
O15530-5|ENSG00000140992|ENST00000441549|ENSP00000395357
Q16512-1|ENSG00000123143|ENST00000242783|ENSP00000242783
Q16512-2|ENSG00000123143|ENST00000342216|ENSP00000343325
Q16513-1|ENSG00000065243|ENST00000370521|ENSP00000359552
Q16513-3|ENSG00000065243|ENST00000370513|ENSP00000359544
P17612-1|ENSG00000072062|ENST00000308677|ENSP00000309591
P17612-1|ENSG00000288516|ENST00000673550|ENSP00000499940
P17612-2|ENSG00000072062|ENST00000589994|ENSP00000466651
P17612-2|ENSG00000288516|ENST00000672938|ENSP00000500293
P22694-1|ENSG00000142875|ENST00000370689|ENSP00000359723
P22694-2|ENSG00000142875|ENST00000370685|ENSP00000359719
P22694-3|ENSG00000142875|ENST00000610703|ENSP00000481980
P22694-6|ENSG00000142875|ENST00000614872|ENSP00000479722
P22694-7|ENSG00000142875|ENST00000370682|ENSP00000359716
P22694-8|ENSG00000142875|ENST00000370688|ENSP00000359722
P22694-9|ENSG00000142875|ENST00000446538|ENSP00000401252
P22694-10|ENSG00000142875|ENST00000394839|ENSP00000378315
P05771-1|ENSG00000166501|ENST00000321728|ENSP00000318315
P05771-2|ENSG00000166501|ENST00000643927|ENSP00000496129
Q05655-1|ENSG00000163932|ENST00000394729|ENSP00000378217
Q05655-1|ENSG00000163932|ENST00000330452|ENSP00000331602
Q05655-1|ENSG00000163932|ENST00000652449|ENSP00000498400
Q05655-1|ENSG00000163932|ENST00000650739|ENSP00000498623
Q05655-1|ENSG00000163932|ENST00000654719|ENSP00000499558
P05129-1|ENSG00000126583|ENST00000263431|ENSP00000263431
P24723-1|ENSG00000027075|ENST00000332981|ENSP00000329127
P24723-2|ENSG00000027075|ENST00000555082|ENSP00000450981
Q04759-1|ENSG00000065675|ENST00000263125|ENSP00000263125
Q04759-2|ENSG00000065675|ENST00000397176|ENSP00000380361
Q04759-3|ENSG00000065675|ENST00000539722|ENSP00000441752
Q05513-1|ENSG00000067606|ENST00000378567|ENSP00000367830
Q05513-2|ENSG00000067606|ENST00000400921|ENSP00000383712
Q05513-3|ENSG00000067606|ENST00000461106|ENSP00000426412
Q13976-1|ENSG00000185532|ENST00000401604|ENSP00000384200
Q13976-2|ENSG00000185532|ENST00000373980|ENSP00000363092
Q13237-1|ENSG00000138669|ENST00000395578|ENSP00000378945
Q13237-1|ENSG00000138669|ENST00000264399|ENSP00000264399
Q13237-2|ENSG00000138669|ENST00000628926|ENSP00000486129
Q15418-1|ENSG00000117676|ENST00000374168|ENSP00000363283
Q15418-1|ENSG00000281877|ENST00000629832|ENSP00000486881
Q15418-2|ENSG00000117676|ENST00000531382|ENSP00000435412
Q15418-2|ENSG00000281877|ENST00000628256|ENSP00000487349
Q15418-3|ENSG00000117676|ENST00000526792|ENSP00000431651
Q15418-3|ENSG00000281877|ENST00000631108|ENSP00000487166
Q15418-4|ENSG00000117676|ENST00000530003|ENSP00000432281
Q15418-4|ENSG00000281877|ENST00000628081|ENSP00000487553
Q15349-1|ENSG00000071242|ENST00000265678|ENSP00000265678
Q15349-3|ENSG00000071242|ENST00000503859|ENSP00000427015
O75676-1|ENSG00000162302|ENST00000334205|ENSP00000333896
O75582-1|ENSG00000100784|ENST00000614987|ENSP00000479667
O75582-2|ENSG00000100784|ENST00000418736|ENSP00000402787
O75582-3|ENSG00000100784|ENST00000536315|ENSP00000442803
Q9UK32-1|ENSG00000072133|ENST00000262752|ENSP00000262752
Q9UK32-2|ENSG00000072133|ENST00000620340|ENSP00000483896
P23443-1|ENSG00000108443|ENST00000225577|ENSP00000225577
P23443-3|ENSG00000108443|ENST00000393021|ENSP00000376744
P23443-5|ENSG00000108443|ENST00000443572|ENSP00000441993
P23443-4|ENSG00000108443|ENST00000406116|ENSP00000384335
Q9UBS0-1|ENSG00000175634|ENST00000312629|ENSP00000308413
Q9UBS0-2|ENSG00000175634|ENST00000528964|ENSP00000432847
O00141-1|ENSG00000118515|ENST00000237305|ENSP00000237305
O00141-2|ENSG00000118515|ENST00000367858|ENSP00000356832
O00141-3|ENSG00000118515|ENST00000413996|ENSP00000396242
O00141-4|ENSG00000118515|ENST00000367857|ENSP00000356831
O00141-5|ENSG00000118515|ENST00000528577|ENSP00000434450
Q9HBY8-1|ENSG00000101049|ENST00000341458|ENSP00000340608
Q9HBY8-2|ENSG00000101049|ENST00000373100|ENSP00000362192
Q9HBY8-2|ENSG00000101049|ENST00000423407|ENSP00000392795
Q9HBY8-3|ENSG00000101049|ENST00000426287|ENSP00000412214
Q96BR1-1|ENSG00000104205|ENST00000519289|ENSP00000429022
