uniprot,subcell_aditional_text_refs,subcell_aditional_text
P31749,41,Nucleus after activation by integrin-linked protein kinase 1 (ILK1). Nuclear translocation is enhanced by interaction with TCL1A. Phosphorylation on Tyr-176 by TNK2 results in its localization to the cell membrane where it is targeted for further phosphorylations on Thr-308 and Ser-473 leading to its activation and the activated form translocates to the nucleus. Colocalizes with WDFY2 in intracellular vesicles (PubMed:16792529).
P31751,17,"Localizes within both nucleus and cytoplasm of proliferative primary myoblasts and mostly within the nucleus of differentiated primary myoblasts. By virtue of the N-terminal PH domain, is recruited to sites of the plasma membrane containing increased PI(3,4,5)P3 or PI(3,4)P2, cell membrane targeting is also facilitared by interaction with CLIP3. Colocalizes with WDFY2 in early endosomes (By similarity)."
Q9Y243,,Membrane-associated after cell stimulation leading to its translocation.
Q5VT25,5,"Displays a dispersed punctate distribution and concentrates along the cell periphery, especially at the leading edge and cell-cell junction. This concentration is PH-domain dependent. Localizes in the lamellipodium in a FAM89B/LRAP25-dependent manner."
Q5VT25,7,"Displays a dispersed punctate distribution and concentrates along the cell periphery, especially at the leading edge and cell-cell junction. This concentration is PH-domain dependent. Localizes in the lamellipodium in a FAM89B/LRAP25-dependent manner."
Q9Y5S2,14,"Displays a dispersed punctate distribution and concentrates along the cell periphery, especially at the leading edge and cell-cell junction. This concentration is PH-domain dependent (By similarity). Detected at the leading edge of migrating cells. Localization at the leading edge of migrating cells requires interaction with catalytically active CDC42 (PubMed:21240187). Localizes in the lamellipodium in a FAM89B/LRAP25-dependent manner (By similarity)."
Q9Y5S2,16,"Displays a dispersed punctate distribution and concentrates along the cell periphery, especially at the leading edge and cell-cell junction. This concentration is PH-domain dependent (By similarity). Detected at the leading edge of migrating cells. Localization at the leading edge of migrating cells requires interaction with catalytically active CDC42 (PubMed:21240187). Localizes in the lamellipodium in a FAM89B/LRAP25-dependent manner (By similarity)."
Q9Y5S2,32,"Displays a dispersed punctate distribution and concentrates along the cell periphery, especially at the leading edge and cell-cell junction. This concentration is PH-domain dependent (By similarity). Detected at the leading edge of migrating cells. Localization at the leading edge of migrating cells requires interaction with catalytically active CDC42 (PubMed:21240187). Localizes in the lamellipodium in a FAM89B/LRAP25-dependent manner (By similarity)."
Q6DT37,,Concentrates at the leading edge of cells.
O14578,,
Q09013,3,Localizes to sarcoplasmic reticulum membranes of cardiomyocytes.
Q09013,,
Q15835,4,Subcellular location is not affected by light or dark conditions.
P25098,,
P32298,,"Both at the cell surface and dispersed in the cytoplasm under basal conditions. Receptor stimulation results in the internalization of GRK4 to the perinuclear area, where colocalization with DRD3 is observed strongly at 5 and 15 minutes. DRD3 and GRK4 colocalize in lipid rafts of renal proximal tubule cells."
