uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
Q9UQL6|Antigen NY-CO-9
P61978|Transformation up-regulated nuclear proteinTUNP
Q9UQ13|Protein soc-2 homolog
Q9UQ13|Protein sur-8 homolog
P53004|Biliverdin-IX alpha-reductase
P35611|Erythrocyte adducin subunit alpha
P14598|p47-phox
P14598|SH3 and PX domain-containing protein 1A
P14598|Nox-organizing protein 2
P14598|Nox organizer 2
P14598|Neutrophil NADPH oxidase factor 1
P14598|NCF-47K
P14598|47 kDa neutrophil oxidase factor
P14598|47 kDa autosomal chronic granulomatous disease protein

Q16206|APK1 antigen
Q16206|Tumor-associated hydroquinone oxidasetNOX
Q16206|Cytosolic ovarian carcinoma antigen 1
P19429|Cardiac troponin I

O76090|TU15B
O76090|Vitelliform macular dystrophy protein 2
Q9UBS0|70 kDa ribosomal protein S6 kinase 2p70-S6K 2P70S6K2
Q9UBS0|S6 kinase-related kinaseSRK
Q9UBS0|Serine/threonine-protein kinase 14B
Q9UBS0|p70 ribosomal S6 kinase betap70 S6K-betap70 S6 kinase betaS6K-betap70-betap70 S6KB

Q05655|Tyrosine-protein kinase PRKCD
Q05655|nPKC-delta
P13796|LC64P
P13796|L-plastin
P13796|Lymphocyte cytosolic protein 1LCP-1
Q9HBA0|Osm-9-like TRP channel 4OTRPC4
Q9HBA0|Transient receptor potential protein 12TRP12
Q9HBA0|Vanilloid receptor-like channel 2
Q9HBA0|Vanilloid receptor-like protein 2VRL-2
Q9HBA0|Vanilloid receptor-related osmotically-activated channelVR-OAC
Q13501|EBI3-associated protein of 60 kDaEBIAPp60
Q13501|Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa
Q13501|Ubiquitin-binding protein p62
P05787|Type-II keratin Kb8
P05787|Keratin-8K8
P05787|Cytokeratin-8CK-8
P04406|Peptidyl-cysteine S-nitrosylase GAPDH

P51398|Death-associated protein 3DAP-3
P51398|Ionizing radiation resistance conferring protein
P51398|Mitochondrial small ribosomal subunit protein mS29
P42224|Transcription factor ISGF-3 components p91/p84
P62753|Phosphoprotein NP33
P62753|Small ribosomal subunit protein eS6
Q99808|Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporterEquilibrative NBMPR-sensitive nucleoside transporter
Q99808|Nucleoside transporter, es-type
Q99808|Solute carrier family 29 member 1
Q14247|Oncogene EMS1
Q14247|Amplaxin
P98082|Differentially-expressed protein 2
P98082|Differentially expressed in ovarian carcinoma 2DOC-2
P98082|Adaptor molecule disabled-2
Q15139|Protein kinase C mu type
Q15139|Protein kinase D
Q15139|nPKC-D1
Q15139|nPKC-mu
P17405|Acid sphingomyelinaseaSMase
P68431|Histone H3/l
P68431|Histone H3/j
P68431|Histone H3/k
P68431|Histone H3/b
P68431|Histone H3/c
P68431|Histone H3/a
P68431|Histone H3/h
P68431|Histone H3/i
P68431|Histone H3/d
P68431|Histone H3/f

P13498|p22-phoxp22phox
P13498|Cytochrome b558 subunit alpha
P13498|Neutrophil cytochrome b 22 kDa polypeptide
P13498|Superoxide-generating NADPH oxidase light chain subunit
P13498|p22 phagocyte B-cytochrome
P13498|Cytochrome b(558) alpha chain
P04637|Tumor suppressor p53
P04637|Antigen NY-CO-13
P04637|Phosphoprotein p53

P78536|Snake venom-like protease
P78536|TNF-alpha convertase
P78536|TNF-alpha-converting enzyme
P12830|CAM 120/80
P12830|Epithelial cadherinE-cadherin
P12830|Uvomorulin

P21730|C5a anaphylatoxin chemotactic receptorC5a-RC5aR
Q9NRY6|Ca(2+)-dependent phospholipid scramblase 3
Q96A00|Protein kinase C-potentiated inhibitor protein of 17 kDaCPI-17
Q96A00|17 kDa PKC-potentiated inhibitory protein of PP1

Q00535|Serine/threonine-protein kinase PSSALRE
Q00535|Tau protein kinase II catalytic subunitTPKII catalytic subunit
Q00535|Cell division protein kinase 5
P10588|V-erbA-related protein 2EAR-2
P40189|Oncostatin-M receptor subunit alpha
P40189|Interleukin-6 signal transducer
P40189|Membrane glycoprotein 130gp130
P40189|CDw130
Q96D96-4|Hydrogen voltage-gated channel 1HV1
Q96D96-4|Voltage sensor domain-only protein
P23396|Small ribosomal subunit protein uS3
O14939|Phosphatidylcholine-hydrolyzing phospholipase D2
O14939|PLD1C
O14939|Choline phosphatase 2
O95817|Bcl-2-associated athanogene 3
O95817|Bcl-2-binding protein Bis
O95817|Docking protein CAIR-1
P29353-2|SHC-transforming protein 3
P29353-2|SHC-transforming protein A
P29353-2|Src homology 2 domain-containing-transforming protein C1SH2 domain protein C1
Q15717|Hu-antigen RHuR
O00165|HS1-binding protein 1HSP1BP-1
O00165|HS1-associating protein X-1HAX-1
P35222|Beta-catenin
P61073|FB22
P61073|Fusin
P61073|HM89
P61073|LCR1
P61073|Leukocyte-derived seven transmembrane domain receptorLESTR
P61073|Lipopolysaccharide-associated protein 3LAP-3LPS-associated protein 3
P61073|NPYRL
P61073|Stromal cell-derived factor 1 receptorSDF-1 receptor
P49840|Serine/threonine-protein kinase GSK3A
Q96C90|Phospholipase C-beta-3 neighbouring gene protein
P30273|Fc-epsilon RI-gamma
P30273|IgE Fc receptor subunit gammaFceRI gamma
P30273|Fc receptor gamma-chainFcRgamma
Q9BZK7|Nuclear receptor corepressor/HDAC3 complex subunit TBLR1
Q9BZK7|Transducin beta-like 1X-related protein 1
Q9BZK7|TBL1-related protein 1
P40763|Acute-phase response factor
P49841|Serine/threonine-protein kinase GSK3B
O00429|Dnm1p/Vps1p-like proteinDVLP
O00429|Dynamin family member proline-rich carboxyl-terminal domain lessDymple
O00429|Dynamin-like protein
O00429|Dynamin-like protein 4
O00429|Dynamin-like protein IVHdynIV
O00429|Dynamin-related protein 1
Q09472|E1A-associated protein p300
Q09472|Histone butyryltransferase p300
Q09472|Histone crotonyltransferase p300
Q09472|Protein 2-hydroxyisobutyryltransferase p300
Q09472|Protein propionyltransferase p300
Q01543|Transcription factor ERGB
Q01543|Proto-oncogene Fli-1
P08581|Tyrosine-protein kinase Met
