uniprot_id|ensembl_gene_id|ensembl_transcript_id|ensembl_translation_id
P31749|ENSG00000142208|ENST00000554581|ENSP00000451828
P31749|ENSG00000142208|ENST00000402615|ENSP00000385326
P31749|ENSG00000142208|ENST00000555528|ENSP00000450688
P31749|ENSG00000142208|ENST00000554848|ENSP00000451166
P31749|ENSG00000142208|ENST00000349310|ENSP00000270202
P31749|ENSG00000142208|ENST00000407796|ENSP00000384293
P31749|ENSG00000142208|ENST00000649815|ENSP00000497822
P31751|ENSG00000105221|ENST00000392038|ENSP00000375892
Q9Y243|ENSG00000275199|ENST00000621586|ENSP00000479081
Q9Y243|ENSG00000117020|ENST00000263826|ENSP00000263826
Q9Y243|ENSG00000117020|ENST00000673466|ENSP00000500582
Q5VT25|ENSG00000143776|ENST00000334218|ENSP00000335341
Q9Y5S2|ENSG00000198752|ENST00000361246|ENSP00000355237
Q6DT37|ENSG00000171219|ENST00000342711|ENSP00000345133
O14578|ENSG00000122966|ENST00000261833|ENSP00000261833
Q09013|ENSG00000104936|ENST00000291270|ENSP00000291270
Q15835|ENSG00000185974|ENST00000335678|ENSP00000334876
Q15835|ENSG00000288263|ENST00000672946|ENSP00000499886
P25098|ENSG00000173020|ENST00000308595|ENSP00000312262
P35626|ENSG00000100077|ENST00000324198|ENSP00000317578
P32298|ENSG00000125388|ENST00000398052|ENSP00000381129
P34947|ENSG00000198873|ENST00000392870|ENSP00000376609
P43250|ENSG00000198055|ENST00000355472|ENSP00000347655
Q8WTQ7|ENSG00000114124|ENST00000264952|ENSP00000264952
O95835|ENSG00000131023|ENST00000253339|ENSP00000253339
O95835|ENSG00000131023|ENST00000543571|ENSP00000437550
Q9NRM7|ENSG00000150457|ENST00000382592|ENSP00000372035
Q9Y2H9|ENSG00000105613|ENST00000251472|ENSP00000251472
Q6P0Q8|ENSG00000086015|ENST00000361297|ENSP00000354671
O60307|ENSG00000099308|ENST00000262811|ENSP00000262811
O15021|ENSG00000069020|ENST00000403625|ENSP00000385727
Q96GX5|ENSG00000120539|ENST00000375940|ENSP00000365107
O15530|ENSG00000140992|ENST00000342085|ENSP00000344220
Q16512|ENSG00000123143|ENST00000242783|ENSP00000242783
Q16513|ENSG00000065243|ENST00000370521|ENSP00000359552
Q6P5Z2|ENSG00000160447|ENST00000291906|ENSP00000291906
P17612|ENSG00000072062|ENST00000308677|ENSP00000309591
P17612|ENSG00000288516|ENST00000673550|ENSP00000499940
P22694|ENSG00000142875|ENST00000370689|ENSP00000359723
P22612|ENSG00000165059|ENST00000377276|ENSP00000366488
P17252|ENSG00000154229|ENST00000413366|ENSP00000408695
P05771|ENSG00000166501|ENST00000321728|ENSP00000318315
Q05655|ENSG00000163932|ENST00000394729|ENSP00000378217
Q05655|ENSG00000163932|ENST00000330452|ENSP00000331602
Q05655|ENSG00000163932|ENST00000652449|ENSP00000498400
Q05655|ENSG00000163932|ENST00000650739|ENSP00000498623
Q05655|ENSG00000163932|ENST00000654719|ENSP00000499558
Q02156|ENSG00000171132|ENST00000306156|ENSP00000306124
P05129|ENSG00000126583|ENST00000263431|ENSP00000263431
P24723|ENSG00000027075|ENST00000332981|ENSP00000329127
P41743|ENSG00000163558|ENST00000295797|ENSP00000295797
Q04759|ENSG00000065675|ENST00000263125|ENSP00000263125
Q05513|ENSG00000067606|ENST00000378567|ENSP00000367830
Q13976|ENSG00000185532|ENST00000401604|ENSP00000384200
Q13237|ENSG00000138669|ENST00000395578|ENSP00000378945
Q13237|ENSG00000138669|ENST00000264399|ENSP00000264399
P51817|ENSG00000183943|ENST00000262848|ENSP00000262848
O43930|ENSG00000099725|ENST00000533551|ENSP00000498737
Q13464|ENSG00000067900|ENST00000399799|ENSP00000382697
O75116|ENSG00000134318|ENST00000315872|ENSP00000317985
Q15418|ENSG00000117676|ENST00000374168|ENSP00000363283
Q15418|ENSG00000281877|ENST00000629832|ENSP00000486881
Q15349|ENSG00000071242|ENST00000265678|ENSP00000265678
P51812|ENSG00000177189|ENST00000379565|ENSP00000368884
O75676|ENSG00000162302|ENST00000334205|ENSP00000333896
O75582|ENSG00000100784|ENST00000614987|ENSP00000479667
Q9UK32|ENSG00000072133|ENST00000262752|ENSP00000262752
P23443|ENSG00000108443|ENST00000225577|ENSP00000225577
Q9UBS0|ENSG00000175634|ENST00000312629|ENSP00000308413
O00141|ENSG00000118515|ENST00000237305|ENSP00000237305
Q9HBY8|ENSG00000101049|ENST00000341458|ENSP00000340608
Q96BR1|ENSG00000104205|ENST00000519289|ENSP00000429022
Q96BR1|ENSG00000104205|ENST00000521198|ENSP00000430463
Q96BR1|ENSG00000104205|ENST00000396596|ENSP00000379842
Q96BR1|ENSG00000104205|ENST00000522398|ENSP00000430256
Q96BR1|ENSG00000104205|ENST00000345714|ENSP00000331816
Q15208|ENSG00000112079|ENST00000229812|ENSP00000229812
Q9Y2H1|ENSG00000211455|ENST00000389032|ENSP00000373684
Q8TDC3|ENSG00000160469|ENST00000309383|ENSP00000310649
Q8IWQ3|ENSG00000174672|ENST00000528841|ENSP00000432000
Q14012|ENSG00000134072|ENST00000256460|ENSP00000256460
Q8IU85|ENSG00000183049|ENST00000619168|ENSP00000478874
Q96NX5|ENSG00000008118|ENST00000361322|ENSP00000354861
Q96NX5|ENSG00000008118|ENST00000009105|ENSP00000009105
Q9UQM7|ENSG00000070808|ENST00000348628|ENSP00000261793
Q9UQM7|ENSG00000070808|ENST00000672479|ENSP00000500642
Q13554|ENSG00000058404|ENST00000395749|ENSP00000379098
Q13557|ENSG00000145349|ENST00000342666|ENSP00000339740
Q13555|ENSG00000148660|ENST00000423381|ENSP00000410298
Q16566|ENSG00000152495|ENST00000512453|ENSP00000422634
Q16566|ENSG00000152495|ENST00000282356|ENSP00000282356
Q8NCB2|ENSG00000164076|ENST00000477224|ENSP00000419195
O14936|ENSG00000147044|ENST00000378163|ENSP00000367405
O14757|ENSG00000149554|ENST00000428830|ENSP00000412504
O14757|ENSG00000149554|ENST00000438015|ENSP00000388648
O14757|ENSG00000149554|ENST00000532449|ENSP00000481616
O14757|ENSG00000149554|ENST00000534070|ENSP00000435371
O14757|ENSG00000149554|ENST00000524737|ENSP00000432890
O96017|ENSG00000183765|ENST00000404276|ENSP00000385747
O96017|ENSG00000183765|ENST00000405598|ENSP00000386087
O96017|ENSG00000183765|ENST00000650281|ENSP00000497000
P53355|ENSG00000196730|ENST00000358077|ENSP00000350785
P53355|ENSG00000196730|ENST00000472284|ENSP00000417076
P53355|ENSG00000196730|ENST00000408954|ENSP00000386135
P53355|ENSG00000196730|ENST00000622514|ENSP00000484267
Q9UIK4|ENSG00000035664|ENST00000261891|ENSP00000261891
Q9UIK4|ENSG00000035664|ENST00000457488|ENSP00000408277
O43293|ENSG00000167657|ENST00000301264|ENSP00000301264
O43293|ENSG00000167657|ENST00000545797|ENSP00000442973
O15075|ENSG00000133083|ENST00000360631|ENSP00000353846
Q8N568|ENSG00000170390|ENST00000296550|ENSP00000296550
Q9C098|ENSG00000163673|ENST00000416516|ENSP00000394484
P57058|ENSG00000142149|ENST00000270112|ENSP00000270112
O60229|ENSG00000160145|ENST00000360013|ENSP00000353109
P49137|ENSG00000162889|ENST00000367103|ENSP00000356070
Q16644|ENSG00000114738|ENST00000446044|ENSP00000396467
Q16644|ENSG00000114738|ENST00000621469|ENSP00000478922
Q16644|ENSG00000114738|ENST00000357955|ENSP00000350639
Q8IW41|ENSG00000089022|ENST00000551404|ENSP00000449381
Q9P0L2|ENSG00000116141|ENST00000366917|ENSP00000355884
Q7KZI7|ENSG00000072518|ENST00000402010|ENSP00000385751
P27448|ENSG00000075413|ENST00000429436|ENSP00000411397
Q96L34|ENSG00000007047|ENST00000262891|ENSP00000262891
Q14680|ENSG00000165304|ENST00000298048|ENSP00000298048
Q9BUB5|ENSG00000079277|ENST00000649800|ENSP00000498083
Q9HBH9|ENSG00000099875|ENST00000591601|ENSP00000467811
Q9HBH9|ENSG00000099875|ENST00000250896|ENSP00000250896
Q15746|ENSG00000065534|ENST00000475616|ENSP00000418335
Q15746|ENSG00000065534|ENST00000360304|ENSP00000353452
Q9H1R3|ENSG00000101306|ENST00000375994|ENSP00000365162
Q9H1R3|ENSG00000101306|ENST00000375985|ENSP00000365152
Q32MK0|ENSG00000140795|ENST00000394809|ENSP00000378288
Q86YV6|ENSG00000145949|ENST00000274643|ENSP00000274643
Q8IY84|ENSG00000177453|ENST00000326035|ENSP00000313572
Q8IY84|ENSG00000177453|ENST00000512796|ENSP00000420849
O60285|ENSG00000074590|ENST00000261402|ENSP00000261402
Q9H093|ENSG00000163545|ENST00000367157|ENSP00000356125
Q5VST9|ENSG00000154358|ENST00000422127|ENSP00000409493
Q5VST9|ENSG00000154358|ENST00000636875|ENSP00000490900
Q96RG2|ENSG00000115687|ENST00000234040|ENSP00000234040
Q96RG2|ENSG00000115687|ENST00000405260|ENSP00000384016
Q96RG2|ENSG00000115687|ENST00000544142|ENSP00000441374
Q16816|ENSG00000164776|ENST00000297373|ENSP00000297373
P15735|ENSG00000156873|ENST00000563588|ENSP00000455607
P11309|ENSG00000137193|ENST00000373509|ENSP00000362608
Q9P1W9|ENSG00000102096|ENST00000376509|ENSP00000365692
Q86V86|ENSG00000198355|ENST00000360612|ENSP00000353824
Q6P2M8|ENSG00000130822|ENST00000370150|ENSP00000359169
Q6P2M8|ENSG00000130822|ENST00000340888|ENSP00000340586
Q13131|ENSG00000132356|ENST00000397128|ENSP00000380317
P54646|ENSG00000162409|ENST00000371244|ENSP00000360290
Q15139|ENSG00000184304|ENST00000331968|ENSP00000333568
Q15139|ENSG00000184304|ENST00000616995|ENSP00000482645
Q9BZL6|ENSG00000105287|ENST00000291281|ENSP00000291281
Q9BZL6|ENSG00000105287|ENST00000433867|ENSP00000393978
O94806|ENSG00000115825|ENST00000234179|ENSP00000234179
O94806|ENSG00000115825|ENST00000379066|ENSP00000368356
P11801|ENSG00000159792|ENST00000291041|ENSP00000291041
Q96QS6|ENSG00000147613|ENST00000276616|ENSP00000276616
P57059|ENSG00000142178|ENST00000270162|ENSP00000270162
A0A0B4J2F2|ENSG00000275993|ENST00000613488|ENSP00000482829
Q9H0K1|ENSG00000170145|ENST00000304987|ENSP00000305976
Q9Y2K2|ENSG00000160584|ENST00000375300|ENSP00000364449
Q9NRH2|ENSG00000163788|ENST00000454177|ENSP00000401246
Q9NRH2|ENSG00000163788|ENST00000429705|ENSP00000411375
Q9NRH2|ENSG00000163788|ENST00000296088|ENSP00000296088
Q15772|ENSG00000072195|ENST00000312358|ENSP00000311684
Q15831|ENSG00000118046|ENST00000326873|ENSP00000324856
Q9UEE5|ENSG00000164543|ENST00000648544|ENSP00000497301
Q9UEE5|ENSG00000164543|ENST00000319357|ENSP00000319192
O94768|ENSG00000081320|ENST00000263955|ENSP00000263955
O94768|ENSG00000081320|ENST00000409228|ENSP00000386853
Q9BYT3|ENSG00000130413|ENST00000447869|ENSP00000416750
Q9BYT3|ENSG00000130413|ENST00000315204|ENSP00000320754
Q9BYT3|ENSG00000130413|ENST00000396672|ENSP00000379905
Q8N2I9|ENSG00000196182|ENST00000373129|ENSP00000362221
Q8N2I9|ENSG00000196182|ENST00000373132|ENSP00000362224
Q96RU8|ENSG00000173334|ENST00000311922|ENSP00000312150
Q92519|ENSG00000071575|ENST00000155926|ENSP00000155926
Q96RU7|ENSG00000101255|ENST00000217233|ENSP00000217233
O75962|ENSG00000038382|ENST00000344204|ENSP00000339299
Q9BXA7|ENSG00000212122|ENST00000390666|ENSP00000375081
Q96PF2|ENSG00000206203|ENST00000399635|ENSP00000382544
Q96PN8|ENSG00000162526|ENST00000373534|ENSP00000362634
Q6SA08|ENSG00000285140|ENST00000643387|ENSP00000495573
Q6SA08|ENSG00000139908|ENST00000287913|ENSP00000287913
Q9BXA6|ENSG00000178093|ENST00000587522|ENSP00000466056
Q9BXA6|ENSG00000178093|ENST00000585580|ENSP00000466477
Q8WZ42|ENSG00000155657|ENST00000615779|ENSP00000483597
Q8WZ42|ENSG00000155657|ENST00000591111|ENSP00000465570
P48729|ENSG00000113712|ENST00000377843|ENSP00000367074
Q8N752|ENSG00000180138|ENST00000379800|ENSP00000369126
P48730|ENSG00000141551|ENST00000314028|ENSP00000324464
P49674|ENSG00000213923|ENST00000396832|ENSP00000380044
P49674|ENSG00000213923|ENST00000403904|ENSP00000384074
P49674|ENSG00000213923|ENST00000359867|ENSP00000352929
P49674|ENSG00000283900|ENST00000400206|ENSP00000383067
Q9HCP0|ENSG00000169118|ENST00000303052|ENSP00000305777
P78368|ENSG00000133275|ENST00000255641|ENSP00000255641
Q9Y6M4|ENSG00000151292|ENST00000361991|ENSP00000354942
Q5TCY1|ENSG00000146216|ENST00000259750|ENSP00000259750
Q6IQ55|ENSG00000128881|ENST00000267890|ENSP00000267890
Q99986|ENSG00000100749|ENST00000216639|ENSP00000216639
Q86Y07|ENSG00000028116|ENST00000435505|ENSP00000408002
Q86Y07|ENSG00000028116|ENST00000340157|ENSP00000342381
Q8IV63|ENSG00000105053|ENST00000316763|ENSP00000324636
Q8IV63|ENSG00000105053|ENST00000599538|ENSP00000469880
Q8IV63|ENSG00000105053|ENST00000594948|ENSP00000473171
P06493|ENSG00000170312|ENST00000395284|ENSP00000378699
Q15131|ENSG00000185324|ENST00000353379|ENSP00000338673
Q9UQ88|ENSG00000008128|ENST00000378633|ENSP00000367900
P21127|ENSG00000248333|ENST00000407249|ENSP00000464036
Q9NYV4|ENSG00000167258|ENST00000447079|ENSP00000398880
Q14004|ENSG00000065883|ENST00000181839|ENSP00000181839
O94921|ENSG00000058091|ENST00000380050|ENSP00000369390
Q96Q40|ENSG00000138395|ENST00000652192|ENSP00000498608
Q00536|ENSG00000102225|ENST00000357227|ENSP00000349762
Q00536|ENSG00000102225|ENST00000518022|ENSP00000429751
Q00537|ENSG00000059758|ENST00000261211|ENSP00000261211
Q07002|ENSG00000117266|ENST00000429964|ENSP00000399082
Q07002|ENSG00000117266|ENST00000360066|ENSP00000353176
Q9BWU1|ENSG00000155111|ENST00000368911|ENSP00000357907
P24941|ENSG00000123374|ENST00000266970|ENSP00000266970
Q8IZL9|ENSG00000156345|ENST00000325303|ENSP00000322343
Q00526|ENSG00000250506|ENST00000448471|ENSP00000400088
Q00526|ENSG00000250506|ENST00000425876|ENSP00000410561
P11802|ENSG00000135446|ENST00000257904|ENSP00000257904
Q00535|ENSG00000164885|ENST00000485972|ENSP00000419782
Q00534|ENSG00000105810|ENST00000265734|ENSP00000265734
Q00534|ENSG00000105810|ENST00000424848|ENSP00000397087
P50613|ENSG00000277273|ENST00000615305|ENSP00000479116
P50613|ENSG00000134058|ENST00000256443|ENSP00000256443
P49336|ENSG00000132964|ENST00000381527|ENSP00000370938
P50750|ENSG00000136807|ENST00000373264|ENSP00000362361
Q92772|ENSG00000138769|ENST00000429927|ENSP00000412365
Q8IVW4|ENSG00000006837|ENST00000265334|ENSP00000265334
Q5MAI5|ENSG00000205111|ENST00000395035|ENSP00000378476
O76039|ENSG00000008086|ENST00000379996|ENSP00000369332
O76039|ENSG00000008086|ENST00000379989|ENSP00000369325
P49759|ENSG00000013441|ENST00000321356|ENSP00000326830
P49760|ENSG00000176444|ENST00000368361|ENSP00000357345
P49760|ENSG00000261893|ENST00000574445|ENSP00000460443
P49761|ENSG00000179335|ENST00000395066|ENSP00000378505
Q9HAZ1|ENSG00000113240|ENST00000316308|ENSP00000316948
Q13627|ENSG00000157540|ENST00000644942|ENSP00000494544
Q13627|ENSG00000157540|ENST00000398960|ENSP00000381932
Q13627|ENSG00000157540|ENST00000339659|ENSP00000340373
Q9Y463|ENSG00000105204|ENST00000593685|ENSP00000469863
Q9Y463|ENSG00000281320|ENST00000631090|ENSP00000486377
Q9Y463|ENSG00000105204|ENST00000323039|ENSP00000312789
Q9Y463|ENSG00000281320|ENST00000625757|ENSP00000485915
Q92630|ENSG00000127334|ENST00000344096|ENSP00000342105
O43781|ENSG00000143479|ENST00000367109|ENSP00000356076
Q9NR20|ENSG00000010219|ENST00000540757|ENSP00000441755
Q9NR20|ENSG00000010219|ENST00000010132|ENSP00000010132
P49840|ENSG00000105723|ENST00000222330|ENSP00000222330
P49840|ENSG00000105723|ENST00000453535|ENSP00000412663
P49841|ENSG00000082701|ENST00000264235|ENSP00000264235
Q86Z02|ENSG00000163349|ENST00000426820|ENSP00000407442
Q86Z02|ENSG00000163349|ENST00000369558|ENSP00000358571
Q9H2X6|ENSG00000064393|ENST00000406875|ENSP00000385571
Q9H422|ENSG00000110422|ENST00000303296|ENSP00000304226
Q8NE63|ENSG00000160396|ENST00000291823|ENSP00000291823
Q9UPZ9|ENSG00000112144|ENST00000350082|ENSP00000263043
Q9UPZ9|ENSG00000112144|ENST00000356971|ENSP00000349458
P20794|ENSG00000111837|ENST00000313243|ENSP00000313021
P20794|ENSG00000111837|ENST00000474039|ENSP00000476067
P28482|ENSG00000100030|ENST00000215832|ENSP00000215832
P28482|ENSG00000100030|ENST00000398822|ENSP00000381803
P53779|ENSG00000109339|ENST00000638313|ENSP00000492292
P53779|ENSG00000109339|ENST00000641341|ENSP00000493290
P53779|ENSG00000109339|ENST00000641983|ENSP00000493045
P53779|ENSG00000109339|ENST00000641066|ENSP00000493072
P53779|ENSG00000109339|ENST00000515650|ENSP00000492204
P53779|ENSG00000109339|ENST00000641647|ENSP00000493375
P53779|ENSG00000109339|ENST00000641823|ENSP00000493408
P53779|ENSG00000109339|ENST00000641462|ENSP00000493435
P53779|ENSG00000109339|ENST00000641207|ENSP00000493450
P53779|ENSG00000109339|ENST00000641902|ENSP00000492903
P53779|ENSG00000109339|ENST00000641952|ENSP00000493013
P53779|ENSG00000109339|ENST00000515400|ENSP00000424154
P53779|ENSG00000109339|ENST00000641051|ENSP00000493275
P53779|ENSG00000109339|ENST00000641157|ENSP00000493363
Q15759|ENSG00000185386|ENST00000330651|ENSP00000333685
Q15759|ENSG00000185386|ENST00000395764|ENSP00000379113
P53778|ENSG00000188130|ENST00000215659|ENSP00000215659
O15264|ENSG00000156711|ENST00000211287|ENSP00000211287
Q16539|ENSG00000112062|ENST00000229794|ENSP00000229794
Q8TD08|ENSG00000274205|ENST00000615253|ENSP00000483093
Q8TD08|ENSG00000181085|ENST00000338033|ENSP00000337691
P27361|ENSG00000102882|ENST00000263025|ENSP00000263025
P31152|ENSG00000141639|ENST00000400384|ENSP00000383234
Q16659|ENSG00000069956|ENST00000261845|ENSP00000261845
Q13164|ENSG00000166484|ENST00000308406|ENSP00000311005
Q13164|ENSG00000166484|ENST00000395602|ENSP00000378966
Q13164|ENSG00000166484|ENST00000395604|ENSP00000378968
P45983|ENSG00000107643|ENST00000374189|ENSP00000363304
P45984|ENSG00000050748|ENST00000452135|ENSP00000394560
Q9UQ07|ENSG00000080823|ENST00000361847|ENSP00000355304
Q9UBE8|ENSG00000087095|ENST00000407008|ENSP00000384625
Q13523|ENSG00000112739|ENST00000480058|ENSP00000433547
Q13523|ENSG00000112739|ENST00000337659|ENSP00000337194
Q96SB4|ENSG00000096063|ENST00000373825|ENSP00000362931
P78362|ENSG00000135250|ENST00000357311|ENSP00000349863
P78362|ENSG00000135250|ENST00000489828|ENSP00000419791
Q9UPE1|ENSG00000184343|ENST00000370101|ENSP00000359119
Q96PY6|ENSG00000137601|ENST00000439128|ENSP00000408020
Q6ZWH5|ENSG00000163491|ENST00000429845|ENSP00000395849
Q8NG66|ENSG00000114670|ENST00000383366|ENSP00000372857
Q8NG66|ENSG00000114670|ENST00000508196|ENSP00000421851
P51955|ENSG00000117650|ENST00000366999|ENSP00000355966
P51956|ENSG00000136098|ENST00000618534|ENSP00000484443
P51956|ENSG00000136098|ENST00000610828|ENSP00000480328
P51957|ENSG00000114904|ENST00000233027|ENSP00000233027
Q6P3R8|ENSG00000197168|ENST00000617045|ENSP00000477810
Q6P3R8|ENSG00000197168|ENST00000355568|ENSP00000347767
Q9HC98|ENSG00000119408|ENST00000373603|ENSP00000362705
Q9HC98|ENSG00000119408|ENST00000320246|ENSP00000319734
Q9HC98|ENSG00000119408|ENST00000545174|ENSP00000442636
Q9HC98|ENSG00000119408|ENST00000546191|ENSP00000441426
Q8TDX7|ENSG00000151414|ENST00000367385|ENSP00000356355
Q8TDX7|ENSG00000151414|ENST00000538004|ENSP00000444621
Q86SG6|ENSG00000160602|ENST00000268766|ENSP00000268766
Q8TD19|ENSG00000119638|ENST00000238616|ENSP00000238616
P25092|ENSG00000070019|ENST00000261170|ENSP00000261170
Q02846|ENSG00000132518|ENST00000254854|ENSP00000254854
P51841|ENSG00000101890|ENST00000218006|ENSP00000218006
P16066|ENSG00000169418|ENST00000368680|ENSP00000357669
P20594|ENSG00000159899|ENST00000342694|ENSP00000341083
Q02750|ENSG00000169032|ENST00000307102|ENSP00000302486
P36507|ENSG00000126934|ENST00000262948|ENSP00000262948
P46734|ENSG00000034152|ENST00000342679|ENSP00000345083
P45985|ENSG00000065559|ENST00000353533|ENSP00000262445
Q13163|ENSG00000137764|ENST00000178640|ENSP00000178640
P52564|ENSG00000108984|ENST00000590474|ENSP00000468348
O14733|ENSG00000076984|ENST00000397979|ENSP00000381066
Q13233|ENSG00000095015|ENST00000399503|ENSP00000382423
Q02779|ENSG00000130758|ENST00000253055|ENSP00000253055
Q16584|ENSG00000173327|ENST00000309100|ENSP00000309597
Q12852|ENSG00000139625|ENST00000267079|ENSP00000267079
O43283|ENSG00000073803|ENST00000424227|ENSP00000399910
O43283|ENSG00000073803|ENST00000265026|ENSP00000265026
Q99558|ENSG00000006062|ENST00000376926|ENSP00000482657
Q99558|ENSG00000006062|ENST00000344686|ENSP00000478552
Q6ZN16|ENSG00000180815|ENST00000338883|ENSP00000345629
Q56UN5|ENSG00000176601|ENST00000375845|ENSP00000365005
Q56UN5|ENSG00000176601|ENST00000392915|ENSP00000376647
Q9Y2U5|ENSG00000169967|ENST00000344908|ENSP00000343463
Q9Y2U5|ENSG00000169967|ENST00000409947|ENSP00000387246
Q9NYL2|ENSG00000091436|ENST00000409176|ENSP00000387259
Q9NYL2|ENSG00000091436|ENST00000375213|ENSP00000364361
Q5TCX8|ENSG00000143674|ENST00000366624|ENSP00000355583
Q99759|ENSG00000198909|ENST00000361733|ENSP00000354485
Q9Y6R4|ENSG00000085511|ENST00000392142|ENSP00000375986
Q99683|ENSG00000197442|ENST00000359015|ENSP00000351908
O95382|ENSG00000142733|ENST00000357582|ENSP00000350195
O43318|ENSG00000135341|ENST00000369329|ENSP00000358335
P41279|ENSG00000107968|ENST00000542547|ENSP00000443610
P41279|ENSG00000107968|ENST00000263056|ENSP00000263056
P41279|ENSG00000107968|ENST00000375321|ENSP00000364470
P80192|ENSG00000006432|ENST00000554752|ENSP00000451612
Q92918|ENSG00000104814|ENST00000591517|ENSP00000465039
Q92918|ENSG00000282928|ENST00000634395|ENSP00000489001
Q12851|ENSG00000168067|ENST00000294066|ENSP00000294066
Q8IVH8|ENSG00000011566|ENST00000263881|ENSP00000263881
O95819|ENSG00000071054|ENST00000347699|ENSP00000314363
Q9Y4K4|ENSG00000012983|ENST00000013125|ENSP00000013125
Q8N4C8|ENSG00000141503|ENST00000355280|ENSP00000347427
Q8NEV4|ENSG00000095777|ENST00000642920|ENSP00000495965
Q8WXR4|ENSG00000071909|ENST00000408978|ENSP00000386213
Q7Z2Y5|ENSG00000123572|ENST00000243300|ENSP00000434830
O95747|ENSG00000172939|ENST00000311806|ENSP00000311713
Q13153|ENSG00000149269|ENST00000356341|ENSP00000348696
Q13177|ENSG00000180370|ENST00000327134|ENSP00000314067
O75914|ENSG00000077264|ENST00000372010|ENSP00000361080
